source,target,weight
MGYP003089102635,MGYP003089102635,1.0
MGYP003089102635,MGYP005966041257,0.473
MGYP005966041257,MGYP005966041257,1.0
MGYP004689541021,MGYP004689541021,1.0
MGYP004689541021,MGYP000424519013,0.41
MGYP000424519013,MGYP000424519013,1.0
MGYP000424519013,MGYP002604278318,0.4
MGYP000855676421,MGYP000855676421,1.0
MGYP000855676421,MGYP003428237798,0.485
MGYP000855676421,MGYP003093126325,0.42
MGYP000855676421,MGYP002604278318,0.405
MGYP000397721529,MGYP000397721529,1.0
MGYP002604278318,MGYP003428237798,0.485
MGYP002604278318,MGYP003093126325,0.835
MGYP002604278318,MGYP002604278318,1.0
MGYP003093126325,MGYP003428237798,0.474
MGYP003093126325,MGYP003093126325,1.0
MGYP003085701068,MGYP003085701068,1.0
MGYP003085701068,MGYP003428237798,0.421
MGYP000068122956,MGYP000068122956,1.0
MGYP003176987684,MGYP005830773149,0.964
MGYP003176987684,MGYP003176987684,1.0
MGYP005830773149,MGYP005830773149,1.0
MGYP001294644504,MGYP001294644504,1.0
MGYP001294644504,MGYP001440308565,0.728
MGYP001294644504,MGYP001211598278,0.694
MGYP001294644504,MGYP000061640447,0.694
MGYP001294644504,MGYP000186489768,0.698
MGYP001294644504,MGYP000237730012,0.679
MGYP001294644504,MGYP000898752052,0.633
MGYP001294644504,MGYP003512137282,0.69
MGYP001294644504,MGYP000732153936,0.671
MGYP001294644504,MGYP002803023658,0.662
MGYP001294644504,MGYP000592073580,0.647
MGYP001440308565,MGYP000898752052,0.663
MGYP001440308565,MGYP001211598278,0.713
MGYP001440308565,MGYP000186489768,0.706
MGYP001440308565,MGYP000237730012,0.701
MGYP001440308565,MGYP006197662369,0.727
MGYP001440308565,MGYP000061640447,0.713
MGYP001440308565,MGYP001440308565,1.0
MGYP001440308565,MGYP002572430332,0.666
MGYP001211598278,MGYP000898752052,0.65
MGYP001211598278,MGYP001211598278,1.0
MGYP001211598278,MGYP006197662369,0.767
MGYP001211598278,MGYP000186489768,0.695
MGYP001211598278,MGYP002572430332,0.688
MGYP001211598278,MGYP000237730012,0.693
MGYP001211598278,MGYP000061640447,0.688
MGYP001211598278,MGYP000732153936,0.675
MGYP001211598278,MGYP003512137282,0.658
MGYP000061640447,MGYP000898752052,0.687
MGYP000061640447,MGYP006178909271,0.636
MGYP000061640447,MGYP000186489768,0.709
MGYP000061640447,MGYP000237730012,0.701
MGYP000061640447,MGYP006197662369,0.707
MGYP000061640447,MGYP000061640447,1.0
MGYP000061640447,MGYP002572430332,0.661
MGYP000061640447,MGYP002803023658,0.636
MGYP000186489768,MGYP000898752052,0.702
MGYP000186489768,MGYP000186489768,1.0
MGYP000186489768,MGYP000237730012,0.783
MGYP000186489768,MGYP006197662369,0.71
MGYP000186489768,MGYP002572430332,0.695
MGYP000186489768,MGYP006247540587,0.671
MGYP000237730012,MGYP000898752052,0.703
MGYP000237730012,MGYP000237730012,1.0
MGYP000237730012,MGYP002572430332,0.686
MGYP000237730012,MGYP006197662369,0.671
MGYP000898752052,MGYP000898752052,1.0
MGYP000898752052,MGYP006197662369,0.689
MGYP000898752052,MGYP002572430332,0.613
MGYP003512137282,MGYP000307029579,0.685
MGYP003512137282,MGYP000741538766,0.662
MGYP003512137282,MGYP000592073580,0.664
MGYP003512137282,MGYP003512137282,1.0
MGYP003512137282,MGYP000732153936,0.675
MGYP003512137282,MGYP002803023658,0.665
MGYP000732153936,MGYP000592073580,0.675
MGYP000732153936,MGYP000732153936,1.0
MGYP000732153936,MGYP002803023658,0.657
MGYP002803023658,MGYP000307029579,0.679
MGYP002803023658,MGYP000592073580,0.673
MGYP002803023658,MGYP002803023658,1.0
MGYP000592073580,MGYP000307029579,0.704
MGYP000592073580,MGYP000741538766,0.924
MGYP000592073580,MGYP000592073580,1.0
MGYP001490368003,MGYP001490368003,1.0
MGYP003269069316,MGYP001751098202,0.88
MGYP003269069316,MGYP002730386954,0.77
MGYP003269069316,MGYP001579457516,0.633
MGYP003269069316,MGYP001067246616,0.725
MGYP003269069316,MGYP003269069316,1.0
MGYP003269069316,MGYP003595455142,0.869
MGYP003269069316,MGYP006283196333,0.781
MGYP001751098202,MGYP001751098202,1.0
MGYP001751098202,MGYP003595455142,0.872
MGYP001751098202,MGYP002730386954,0.768
MGYP001751098202,MGYP006283196333,0.765
MGYP001751098202,MGYP001067246616,0.722
MGYP001751098202,MGYP001579457516,0.629
MGYP006247540587,MGYP006247540587,1.0
MGYP002787048691,MGYP002787048691,1.0
MGYP001498334298,MGYP001498334298,1.0
MGYP001498334298,MGYP001408343396,0.709
MGYP001498334298,MGYP001547889901,0.57
MGYP001498334298,MGYP001307383999,0.448
MGYP001408343396,MGYP001408343396,1.0
MGYP001408343396,MGYP001547889901,0.585
MGYP001408343396,MGYP004567555473,0.496
MGYP001547889901,MGYP001547889901,1.0
MGYP001307383999,MGYP000757340470,0.449
MGYP001307383999,MGYP000659048867,0.422
MGYP001307383999,MGYP001307383999,1.0
MGYP005704881709,MGYP000014671972,0.542
MGYP005704881709,MGYP002662608583,0.644
MGYP005704881709,MGYP005704881709,1.0
MGYP005704881709,MGYP001460413294,0.611
MGYP003603792326,MGYP003603792326,1.0
MGYP003603792326,MGYP001256166077,0.564
MGYP003603792326,MGYP000245542720,0.555
MGYP003603792326,MGYP000366528010,0.495
MGYP003603792326,MGYP001544327893,0.516
MGYP003603792326,MGYP003601579242,0.432
MGYP001256166077,MGYP001272429524,0.467
MGYP001256166077,MGYP000366528010,0.515
MGYP001256166077,MGYP001280581018,0.458
MGYP001256166077,MGYP001256166077,1.0
MGYP001256166077,MGYP001606240668,0.408
MGYP000245542720,MGYP001272429524,0.583
MGYP000245542720,MGYP000245542720,1.0
MGYP000245542720,MGYP001544327893,0.595
MGYP000366528010,MGYP000366528010,1.0
MGYP000366528010,MGYP004552283423,0.789
MGYP000366528010,MGYP001472855791,0.546
MGYP000366528010,MGYP001280581018,0.561
MGYP001544327893,MGYP001272429524,0.655
MGYP001544327893,MGYP001544327893,1.0
MGYP003601579242,MGYP003601579242,1.0
MGYP003601579242,MGYP005733661919,0.601
MGYP001606240668,MGYP000816196054,0.568
MGYP001606240668,MGYP001606240668,1.0
MGYP000799658132,MGYP000799658132,1.0
MGYP000847467241,MGYP000847467241,1.0
MGYP000706057236,MGYP003420788460,0.781
MGYP000706057236,MGYP001149659361,0.712
MGYP000706057236,MGYP000706057236,1.0
MGYP000731907246,MGYP000731907246,1.0
MGYP000731907246,MGYP000687245480,0.493
MGYP000731907246,MGYP000295327542,0.52
MGYP000731907246,MGYP000448898988,0.438
MGYP000731907246,MGYP000210866433,0.411
MGYP000731907246,MGYP000972165289,0.419
MGYP000731907246,MGYP000948728480,0.448
MGYP000687245480,MGYP000687245480,1.0
MGYP000687245480,MGYP000948728480,0.557
MGYP000687245480,MGYP003425001352,0.57
MGYP000687245480,MGYP000910642323,0.542
MGYP000687245480,MGYP000448898988,0.481
MGYP000295327542,MGYP005715422165,0.435
MGYP000295327542,MGYP006363189005,0.514
MGYP000295327542,MGYP000972165289,0.464
MGYP000295327542,MGYP004545170975,0.5
MGYP000295327542,MGYP000210866433,0.488
MGYP000295327542,MGYP006164342349,0.44
MGYP000295327542,MGYP000295327542,1.0
MGYP000448898988,MGYP003425001352,0.639
MGYP000448898988,MGYP000448898988,1.0
MGYP000448898988,MGYP000210866433,0.56
MGYP000448898988,MGYP000948728480,0.469
MGYP000210866433,MGYP005715422165,0.432
MGYP000210866433,MGYP006363189005,0.487
MGYP000210866433,MGYP000972165289,0.859
MGYP000210866433,MGYP004545170975,0.511
MGYP000210866433,MGYP000210866433,1.0
MGYP000210866433,MGYP006164342349,0.488
MGYP000972165289,MGYP005715422165,0.427
MGYP000972165289,MGYP006363189005,0.469
MGYP000972165289,MGYP000972165289,1.0
MGYP000972165289,MGYP004545170975,0.49
MGYP000972165289,MGYP006164342349,0.519
MGYP000923849892,MGYP000923849892,1.0
MGYP001464833186,MGYP001464833186,1.0
MGYP005902359527,MGYP005902359527,1.0
MGYP001446470573,MGYP001446470573,1.0
MGYP000576311475,MGYP000576311475,1.0
MGYP001355558375,MGYP001355558375,1.0
MGYP001523713770,MGYP001523713770,1.0
MGYP001523713770,MGYP000143284170,0.97
MGYP000143284170,MGYP000143284170,1.0
MGYP001244250113,MGYP001244250113,1.0
MGYP001244250113,MGYP000053448402,0.559
MGYP001244250113,MGYP000541164625,0.518
MGYP001244250113,MGYP001150037469,0.506
MGYP001244250113,MGYP001193205089,0.495
MGYP001244250113,MGYP000155938620,0.479
MGYP001244250113,MGYP000325075467,0.472
MGYP001244250113,MGYP000401103812,0.469
MGYP001244250113,MGYP001210715392,0.441
MGYP001244250113,MGYP002717664261,0.483
MGYP001244250113,MGYP001615588479,0.449
MGYP001244250113,MGYP000278216538,0.442
MGYP001244250113,MGYP006101461757,0.434
MGYP001244250113,MGYP001481708372,0.438
MGYP001244250113,MGYP002714203894,0.427
MGYP001244250113,MGYP006149680269,0.473
MGYP001244250113,MGYP000531502590,0.424
MGYP001244250113,MGYP002525559165,0.443
MGYP001244250113,MGYP006289415471,0.447
MGYP001244250113,MGYP001223482791,0.429
MGYP000053448402,MGYP006289415471,0.467
MGYP000053448402,MGYP000155938620,0.528
MGYP000053448402,MGYP001481708372,0.424
MGYP000053448402,MGYP000401103812,0.5
MGYP000053448402,MGYP001193205089,0.631
MGYP000053448402,MGYP002525559165,0.442
MGYP000053448402,MGYP000278216538,0.434
MGYP000053448402,MGYP002714203894,0.443
MGYP000053448402,MGYP006149680269,0.564
MGYP000053448402,MGYP001150037469,0.623
MGYP000053448402,MGYP001210715392,0.548
MGYP000053448402,MGYP000705588737,0.421
MGYP000053448402,MGYP006101461757,0.434
MGYP000053448402,MGYP001223482791,0.4
MGYP000053448402,MGYP001615588479,0.49
MGYP000053448402,MGYP000541164625,0.588
MGYP000053448402,MGYP000053448402,1.0
MGYP000053448402,MGYP000325075467,0.511
MGYP000053448402,MGYP002717664261,0.505
MGYP000053448402,MGYP000531502590,0.418
MGYP000541164625,MGYP006289415471,0.466
MGYP000541164625,MGYP000155938620,0.515
MGYP000541164625,MGYP001481708372,0.423
MGYP000541164625,MGYP000401103812,0.516
MGYP000541164625,MGYP001193205089,0.55
MGYP000541164625,MGYP002525559165,0.451
MGYP000541164625,MGYP000278216538,0.404
MGYP000541164625,MGYP002714203894,0.448
MGYP000541164625,MGYP006149680269,0.748
MGYP000541164625,MGYP001150037469,0.549
MGYP000541164625,MGYP001210715392,0.494
MGYP000541164625,MGYP000705588737,0.412
MGYP000541164625,MGYP006101461757,0.423
MGYP000541164625,MGYP001223482791,0.4
MGYP000541164625,MGYP001615588479,0.51
MGYP000541164625,MGYP000541164625,1.0
MGYP000541164625,MGYP000325075467,0.497
MGYP000541164625,MGYP002717664261,0.475
MGYP001150037469,MGYP006289415471,0.435
MGYP001150037469,MGYP000155938620,0.492
MGYP001150037469,MGYP001481708372,0.4
MGYP001150037469,MGYP000401103812,0.475
MGYP001150037469,MGYP001193205089,0.73
MGYP001150037469,MGYP002525559165,0.425
MGYP001150037469,MGYP002714203894,0.44
MGYP001150037469,MGYP006149680269,0.505
MGYP001150037469,MGYP001150037469,1.0
MGYP001150037469,MGYP001210715392,0.545
MGYP001150037469,MGYP001615588479,0.495
MGYP001150037469,MGYP000325075467,0.487
MGYP001150037469,MGYP002717664261,0.492
MGYP001150037469,MGYP000705588737,0.426
MGYP001150037469,MGYP006101461757,0.402
MGYP001150037469,MGYP000531502590,0.405
MGYP001193205089,MGYP006289415471,0.437
MGYP001193205089,MGYP000155938620,0.486
MGYP001193205089,MGYP001481708372,0.404
MGYP001193205089,MGYP000401103812,0.469
MGYP001193205089,MGYP001193205089,1.0
MGYP001193205089,MGYP001210715392,0.572
MGYP001193205089,MGYP001615588479,0.483
MGYP001193205089,MGYP002717664261,0.502
MGYP001193205089,MGYP000325075467,0.48
MGYP001193205089,MGYP006149680269,0.523
MGYP001193205089,MGYP002714203894,0.444
MGYP001193205089,MGYP000705588737,0.438
MGYP001193205089,MGYP006101461757,0.409
MGYP001193205089,MGYP000278216538,0.402
MGYP001193205089,MGYP000531502590,0.404
MGYP001193205089,MGYP002525559165,0.43
MGYP000155938620,MGYP006289415471,0.505
MGYP000155938620,MGYP000155938620,1.0
MGYP000155938620,MGYP000325075467,0.623
MGYP000155938620,MGYP002717664261,0.569
MGYP000155938620,MGYP001615588479,0.539
MGYP000155938620,MGYP000401103812,0.533
MGYP000155938620,MGYP000278216538,0.478
MGYP000155938620,MGYP001210715392,0.467
MGYP000155938620,MGYP002714203894,0.441
MGYP000155938620,MGYP006149680269,0.507
MGYP000155938620,MGYP000705588737,0.437
MGYP000155938620,MGYP002525559165,0.494
MGYP000155938620,MGYP006101461757,0.428
MGYP000155938620,MGYP001481708372,0.433
MGYP000155938620,MGYP000531502590,0.423
MGYP000155938620,MGYP001223482791,0.408
MGYP000325075467,MGYP006289415471,0.488
MGYP000325075467,MGYP001481708372,0.451
MGYP000325075467,MGYP000401103812,0.529
MGYP000325075467,MGYP002525559165,0.471
MGYP000325075467,MGYP000278216538,0.511
MGYP000325075467,MGYP002714203894,0.448
MGYP000325075467,MGYP006149680269,0.49
MGYP000325075467,MGYP001210715392,0.46
MGYP000325075467,MGYP000705588737,0.433
MGYP000325075467,MGYP006101461757,0.44
MGYP000325075467,MGYP001223482791,0.43
MGYP000325075467,MGYP001615588479,0.492
MGYP000325075467,MGYP000325075467,1.0
MGYP000325075467,MGYP002717664261,0.547
MGYP000325075467,MGYP000531502590,0.435
MGYP000401103812,MGYP006289415471,0.472
MGYP000401103812,MGYP001481708372,0.43
MGYP000401103812,MGYP000401103812,1.0
MGYP000401103812,MGYP002717664261,0.571
MGYP000401103812,MGYP001615588479,0.51
MGYP000401103812,MGYP001210715392,0.458
MGYP000401103812,MGYP006149680269,0.503
MGYP000401103812,MGYP002714203894,0.438
MGYP000401103812,MGYP000278216538,0.438
MGYP000401103812,MGYP000705588737,0.411
MGYP000401103812,MGYP002525559165,0.467
MGYP000401103812,MGYP000531502590,0.425
MGYP001210715392,MGYP006289415471,0.438
MGYP001210715392,MGYP001481708372,0.406
MGYP001210715392,MGYP002525559165,0.41
MGYP001210715392,MGYP000278216538,0.401
MGYP001210715392,MGYP002714203894,0.468
MGYP001210715392,MGYP001210715392,1.0
MGYP001210715392,MGYP001615588479,0.484
MGYP001210715392,MGYP000705588737,0.446
MGYP001210715392,MGYP002717664261,0.473
MGYP001210715392,MGYP006101461757,0.422
MGYP001210715392,MGYP000531502590,0.412
MGYP001210715392,MGYP001223482791,0.411
MGYP002717664261,MGYP006289415471,0.495
MGYP002717664261,MGYP001481708372,0.431
MGYP002717664261,MGYP002525559165,0.492
MGYP002717664261,MGYP000278216538,0.451
MGYP002717664261,MGYP002714203894,0.462
MGYP002717664261,MGYP006149680269,0.445
MGYP002717664261,MGYP000705588737,0.447
MGYP002717664261,MGYP006101461757,0.424
MGYP002717664261,MGYP001615588479,0.532
MGYP002717664261,MGYP000870029355,0.576
MGYP002717664261,MGYP002717664261,1.0
MGYP002717664261,MGYP000531502590,0.435
MGYP001615588479,MGYP006289415471,0.574
MGYP001615588479,MGYP001481708372,0.427
MGYP001615588479,MGYP002525559165,0.634
MGYP001615588479,MGYP000278216538,0.435
MGYP001615588479,MGYP002714203894,0.47
MGYP001615588479,MGYP006149680269,0.483
MGYP001615588479,MGYP000705588737,0.464
MGYP001615588479,MGYP006101461757,0.413
MGYP001615588479,MGYP001615588479,1.0
MGYP001615588479,MGYP000531502590,0.434
MGYP000278216538,MGYP006289415471,0.413
MGYP000278216538,MGYP001481708372,0.41
MGYP000278216538,MGYP002525559165,0.4
MGYP000278216538,MGYP000278216538,1.0
MGYP000278216538,MGYP006101461757,0.432
MGYP000278216538,MGYP000531502590,0.437
MGYP000278216538,MGYP002714203894,0.405
MGYP000278216538,MGYP001223482791,0.433
MGYP000278216538,MGYP006149680269,0.411
MGYP006101461757,MGYP001481708372,0.416
MGYP006101461757,MGYP002714203894,0.403
MGYP006101461757,MGYP000705588737,0.403
MGYP006101461757,MGYP006101461757,1.0
MGYP006101461757,MGYP001223482791,0.583
MGYP006101461757,MGYP000531502590,0.419
MGYP001481708372,MGYP006289415471,0.407
MGYP001481708372,MGYP001481708372,1.0
MGYP001481708372,MGYP000531502590,0.659
MGYP001481708372,MGYP001223482791,0.418
MGYP001481708372,MGYP002525559165,0.403
MGYP001481708372,MGYP006149680269,0.4
MGYP002714203894,MGYP006289415471,0.409
MGYP002714203894,MGYP002525559165,0.416
MGYP002714203894,MGYP002714203894,1.0
MGYP002714203894,MGYP000705588737,0.607
MGYP002714203894,MGYP000531502590,0.417
MGYP002714203894,MGYP006149680269,0.421
MGYP006149680269,MGYP006289415471,0.449
MGYP006149680269,MGYP002525559165,0.453
MGYP006149680269,MGYP002855351919,0.466
MGYP006149680269,MGYP006149680269,1.0
MGYP006149680269,MGYP002554737502,0.52
MGYP006149680269,MGYP000705588737,0.412
MGYP006149680269,MGYP001001142699,0.403
MGYP006149680269,MGYP000870029355,0.428
MGYP000531502590,MGYP006289415471,0.405
MGYP000531502590,MGYP000705588737,0.408
MGYP000531502590,MGYP001223482791,0.401
MGYP000531502590,MGYP000531502590,1.0
MGYP000705588737,MGYP006289415471,0.408
MGYP000705588737,MGYP002525559165,0.435
MGYP000705588737,MGYP000705588737,1.0
MGYP002525559165,MGYP006289415471,0.502
MGYP002525559165,MGYP002525559165,1.0
MGYP002525559165,MGYP002855351919,0.59
MGYP002525559165,MGYP002554737502,0.496
MGYP002525559165,MGYP000870029355,0.449
MGYP002525559165,MGYP001001142699,0.407
MGYP002525559165,MGYP001691765617,0.405
MGYP006289415471,MGYP006289415471,1.0
MGYP006289415471,MGYP002855351919,0.501
MGYP006289415471,MGYP002554737502,0.492
MGYP006289415471,MGYP001001142699,0.417
MGYP001223482791,MGYP001223482791,1.0
MGYP003995185681,MGYP003995185681,1.0
MGYP003995185681,MGYP003244483357,0.523
MGYP003995185681,MGYP000025979910,0.539
MGYP003995185681,MGYP000883896395,0.455
MGYP003995185681,MGYP001768264418,0.48
MGYP003995185681,MGYP000537568577,0.497
MGYP003244483357,MGYP003244483357,1.0
MGYP003244483357,MGYP000038990992,0.693
MGYP003244483357,MGYP000025979910,0.576
MGYP003244483357,MGYP001768264418,0.515
MGYP003244483357,MGYP000883896395,0.469
MGYP000025979910,MGYP000883896395,0.493
MGYP000025979910,MGYP001768264418,0.528
MGYP000025979910,MGYP000025979910,1.0
MGYP000883896395,MGYP000883896395,1.0
MGYP000883896395,MGYP001768264418,0.411
MGYP000883896395,MGYP000537568577,0.401
MGYP001768264418,MGYP005718254845,0.486
MGYP001768264418,MGYP001768264418,1.0
MGYP001768264418,MGYP003402033763,0.582
MGYP001768264418,MGYP000537568577,0.46
MGYP000537568577,MGYP000537568577,1.0
MGYP000537568577,MGYP003402033763,0.569
MGYP001249829704,MGYP001249829704,1.0
MGYP001249829704,MGYP000454793989,0.821
MGYP001249829704,MGYP002799037523,0.56
MGYP000454793989,MGYP000454793989,1.0
MGYP000454793989,MGYP002799037523,0.567
MGYP002799037523,MGYP002799037523,1.0
MGYP001243072001,MGYP001243072001,1.0
MGYP001727828532,MGYP001727828532,1.0
MGYP001727828532,MGYP000922680310,0.817
MGYP000922680310,MGYP000922680310,1.0
MGYP000236252216,MGYP000236252216,1.0
MGYP000236252216,MGYP002779568320,0.659
MGYP000236252216,MGYP006300120895,0.594
MGYP000236252216,MGYP000116758330,0.407
MGYP000236252216,MGYP005858258587,0.422
MGYP002779568320,MGYP000116758330,0.427
MGYP002779568320,MGYP006300120895,0.595
MGYP002779568320,MGYP002779568320,1.0
MGYP002779568320,MGYP005858258587,0.417
MGYP006300120895,MGYP006300120895,1.0
MGYP000116758330,MGYP000738301087,0.853
MGYP000116758330,MGYP000116758330,1.0
MGYP000116758330,MGYP005858258587,0.772
MGYP000116758330,MGYP002589285302,0.531
MGYP005858258587,MGYP000738301087,0.784
MGYP005858258587,MGYP002589285302,0.526
MGYP005858258587,MGYP005858258587,1.0
MGYP001068531846,MGYP001068531846,1.0
MGYP001068531846,MGYP000889296009,0.493
MGYP001068531846,MGYP005653796053,0.494
MGYP001068531846,MGYP001214231924,0.478
MGYP000889296009,MGYP001214231924,0.546
MGYP000889296009,MGYP001281845107,0.543
MGYP000889296009,MGYP002634226860,0.507
MGYP000889296009,MGYP005653796053,0.541
MGYP000889296009,MGYP000889296009,1.0
MGYP000889296009,MGYP002289688977,0.49
MGYP000889296009,MGYP003868004751,0.463
MGYP005653796053,MGYP001214231924,0.557
MGYP005653796053,MGYP005653796053,1.0
MGYP001214231924,MGYP001214231924,1.0
MGYP001214231924,MGYP003868004751,0.483
MGYP003868004751,MGYP003868004751,1.0
MGYP004557665827,MGYP004557665827,1.0
MGYP004557665827,MGYP004588561593,0.636
MGYP004588561593,MGYP004588561593,1.0
MGYP001371278710,MGYP001371278710,1.0
MGYP002527714329,MGYP002527714329,1.0
MGYP003470313084,MGYP003470313084,1.0
MGYP001154513666,MGYP001154513666,1.0
MGYP003503177375,MGYP003503177375,1.0
MGYP003503177375,MGYP002137903563,0.659
MGYP003503177375,MGYP000404168364,0.608
MGYP003503177375,MGYP006345522471,0.577
MGYP003503177375,MGYP003286902623,0.538
MGYP002137903563,MGYP003286902623,0.54
MGYP002137903563,MGYP002137903563,1.0
MGYP002137903563,MGYP006345522471,0.639
MGYP002137903563,MGYP000404168364,0.563
MGYP002137903563,MGYP001636477825,0.557
MGYP000404168364,MGYP003286902623,0.534
MGYP000404168364,MGYP000404168364,1.0
MGYP000404168364,MGYP006345522471,0.512
MGYP006345522471,MGYP003286902623,0.51
MGYP006345522471,MGYP006345522471,1.0
MGYP006345522471,MGYP001636477825,0.506
MGYP003286902623,MGYP003286902623,1.0
MGYP003286902623,MGYP001636477825,0.517
MGYP006165563787,MGYP006165563787,1.0
MGYP004645704951,MGYP004645704951,1.0
MGYP002652853935,MGYP002652853935,1.0
MGYP004640082051,MGYP004640082051,1.0
MGYP001428033154,MGYP001428033154,1.0
MGYP000680449276,MGYP000680449276,1.0
MGYP000874504004,MGYP000874504004,1.0
MGYP005734902507,MGYP005734902507,1.0
MGYP005894157483,MGYP005894157483,1.0
MGYP005894157483,MGYP001050665198,0.735
MGYP001050665198,MGYP001050665198,1.0
MGYP000254344528,MGYP000254344528,1.0
MGYP002722334215,MGYP002722334215,1.0
MGYP002722334215,MGYP006125001315,0.637
MGYP002722334215,MGYP000247582667,0.47
MGYP006125001315,MGYP006125001315,1.0
MGYP000247582667,MGYP001812511619,0.533
MGYP000247582667,MGYP000247582667,1.0
MGYP000247582667,MGYP000325323632,0.553
MGYP006131625391,MGYP006131625391,1.0
MGYP003610431031,MGYP003610431031,1.0
MGYP002788340846,MGYP002788340846,1.0
MGYP002553444562,MGYP002553444562,1.0
MGYP000711236655,MGYP000711236655,1.0
MGYP003456258447,MGYP003456258447,1.0
MGYP000105876492,MGYP000105876492,1.0
MGYP002039111060,MGYP002039111060,1.0
MGYP003606451564,MGYP003606451564,1.0
MGYP003606451564,MGYP000339443675,0.587
MGYP003606451564,MGYP004545713227,0.588
MGYP003606451564,MGYP002546602392,0.641
MGYP003606451564,MGYP004492434621,0.507
MGYP003606451564,MGYP000861219196,0.459
MGYP000339443675,MGYP001091456255,0.422
MGYP000339443675,MGYP004492434621,0.698
MGYP000339443675,MGYP000339443675,1.0
MGYP000339443675,MGYP004545713227,0.513
MGYP000339443675,MGYP000787178916,0.443
MGYP000339443675,MGYP000555238318,0.436
MGYP004545713227,MGYP004492434621,0.492
MGYP004545713227,MGYP004545713227,1.0
MGYP002546602392,MGYP000861219196,0.474
MGYP002546602392,MGYP002546602392,1.0
MGYP002546602392,MGYP001091456255,0.435
MGYP004492434621,MGYP001091456255,0.411
MGYP004492434621,MGYP004492434621,1.0
MGYP004492434621,MGYP000787178916,0.42
MGYP004492434621,MGYP000555238318,0.411
MGYP004492434621,MGYP000861219196,0.602
MGYP000861219196,MGYP000861219196,1.0
MGYP000787178916,MGYP001091456255,0.478
MGYP000787178916,MGYP000555238318,0.511
MGYP000787178916,MGYP000787178916,1.0
MGYP000555238318,MGYP000555238318,1.0
MGYP001091456255,MGYP001091456255,1.0
MGYP002640910202,MGYP002640910202,1.0
MGYP002269427873,MGYP002269427873,1.0
MGYP001178433315,MGYP001178433315,1.0
MGYP006170796735,MGYP006170796735,1.0
MGYP006170796735,MGYP001174477290,0.797
MGYP006170796735,MGYP003145455891,0.705
MGYP006170796735,MGYP003307048550,0.421
MGYP006170796735,MGYP002726920623,0.404
MGYP001174477290,MGYP001174477290,1.0
MGYP001174477290,MGYP003307048550,0.417
MGYP001174477290,MGYP002726920623,0.401
MGYP003145455891,MGYP005630638913,0.858
MGYP003145455891,MGYP005745308943,0.469
MGYP003145455891,MGYP006342360583,0.411
MGYP003145455891,MGYP003145455891,1.0
MGYP003307048550,MGYP001549391284,0.44
MGYP003307048550,MGYP001055309805,0.505
MGYP003307048550,MGYP003487317866,0.408
MGYP003307048550,MGYP000146026623,0.485
MGYP003307048550,MGYP003307048550,1.0
MGYP003307048550,MGYP001173560867,0.463
MGYP003307048550,MGYP006342360583,0.469
MGYP003307048550,MGYP000784626871,0.47
MGYP003307048550,MGYP003705746593,0.459
MGYP002726920623,MGYP001055309805,0.487
MGYP002726920623,MGYP002726920623,1.0
MGYP002726920623,MGYP001490245999,0.505
MGYP002726920623,MGYP005842608575,0.509
MGYP002726920623,MGYP000669955449,0.46
MGYP001055309805,MGYP001055309805,1.0
MGYP001055309805,MGYP000146026623,0.616
MGYP001055309805,MGYP000669955449,0.582
