protein,cluster
MGYP001522811368,157
MGYP002282327054,157
MGYP004669281067,157
MGYP005609732943,158
MGYP003519641510,159
MGYP001529254814,159
MGYP005977427409,159
MGYP006343391213,159
MGYP003140969908,159
MGYP001483435831,159
MGYP003389076345,159
MGYP000632897209,159
MGYP000838300531,159
MGYP000590400353,144
MGYP004646412327,144
MGYP004597713835,144
MGYP000411885167,144
MGYP002596084419,144
MGYP000757867350,144
MGYP002585578476,144
MGYP000178852111,144
MGYP002230348848,144
MGYP003288708258,144
MGYP000718045561,144
MGYP002298052746,144
MGYP000893922707,144
MGYP004657630737,144
MGYP000560335725,144
MGYP002770660688,144
MGYP003056818173,144
MGYP002225496675,144
MGYP003372142957,144
MGYP000209894141,144
MGYP002658373504,144
MGYP001658011065,144
MGYP002310890963,144
MGYP000254552526,144
MGYP001071654292,144
MGYP004570455549,160
MGYP000330990323,28
MGYP002706045347,28
MGYP000970211444,161
MGYP003102037762,28
MGYP004707627243,33
MGYP000478590180,162
MGYP002252231435,28
MGYP000749535123,163
MGYP000905075317,163
MGYP005772165377,164
MGYP005978092867,164
MGYP004609958983,165
MGYP001341134433,166
MGYP003908363281,167
MGYP001417660729,168
MGYP003345773097,169
MGYP005710135215,170
MGYP003244483357,171
MGYP000038990992,171
MGYP000025979910,171
MGYP001768264418,171
MGYP003995185681,171
MGYP000883896395,171
MGYP001386770337,172
MGYP001513510439,173
MGYP000010246689,174
MGYP000983172282,174
MGYP000231812413,175
MGYP001222641530,176
MGYP001210735684,176
MGYP000182445994,177
MGYP003300620333,178
MGYP000946023591,179
MGYP000928045683,180
MGYP005972352007,180
MGYP001317524930,180
MGYP000271963224,180
MGYP001135784652,180
MGYP000401103812,181
MGYP002717664261,181
MGYP000155938620,181
MGYP000325075467,181
MGYP000541164625,181
MGYP001615588479,181
MGYP000053448402,181
MGYP001150037469,181
MGYP001193205089,181
MGYP001210715392,181
MGYP001244250113,181
MGYP006149680269,181
MGYP002714203894,181
MGYP000278216538,181
MGYP001481708372,181
MGYP000705588737,181
MGYP002525559165,181
MGYP000531502590,181
MGYP006289415471,181
MGYP006101461757,181
MGYP001223482791,181
MGYP000860312080,182
MGYP000761599025,183
MGYP000156936801,184
MGYP001791235331,185
MGYP000901738877,186
MGYP002633385413,187
MGYP003391901834,188
MGYP001003178297,187
MGYP003482899503,189
MGYP003428973586,190
MGYP003348868318,191
MGYP000795801609,192
MGYP001060471956,192
MGYP000587996094,192
MGYP000611794321,192
MGYP006107232941,192
MGYP002778681986,192
MGYP005624907601,192
MGYP001131683462,192
MGYP000193317918,192
MGYP006368307387,192
MGYP006101799017,192
MGYP000974946747,193
MGYP001631269402,194
MGYP000156844038,194
MGYP004445221759,194
MGYP000839876841,195
MGYP000978674026,196
MGYP000580849512,197
MGYP001247254234,198
MGYP004686691357,198
MGYP001331709931,198
MGYP005759868741,198
MGYP001560043054,198
MGYP000921326168,198
MGYP003387195167,198
MGYP001120840398,198
MGYP001408343396,198
MGYP001498334298,198
MGYP001547889901,198
MGYP004567555473,198
MGYP005704881709,198
MGYP000014671972,198
MGYP003443510460,199
MGYP002799568475,200
MGYP005721232265,201
MGYP001446799866,200
MGYP002531693958,202
MGYP001038438269,203
MGYP000143098929,192
MGYP000161198749,192
MGYP003663202131,192
MGYP002642302360,192
MGYP000284599007,192
MGYP000597363523,192
MGYP001775132489,192
MGYP001530569284,192
MGYP001269575737,192
MGYP003461107273,192
MGYP001162731966,192
MGYP002770126413,192
MGYP003031098883,192
MGYP005729093071,192
MGYP001376717819,192
MGYP000488705407,192
MGYP001418103223,192
MGYP003571907727,192
MGYP000610352312,192
MGYP005731242487,192
MGYP000348116747,192
MGYP006273162517,192
MGYP000630876778,192
MGYP000672403495,192
MGYP001585074678,192
MGYP001521881280,192
MGYP003324451627,192
MGYP002839844036,192
MGYP002724153505,192
MGYP005626447323,192
MGYP001791625403,192
MGYP001176280878,192
MGYP001263505863,192
MGYP001286999346,192
MGYP002524978229,192
MGYP005846307909,192
MGYP006303295387,192
MGYP001311004104,192
MGYP003340199898,192
MGYP003301187397,204
MGYP000312480379,205
MGYP002552464713,205
MGYP000964514929,205
MGYP004632584737,205
MGYP003377606373,205
MGYP000688878896,206
MGYP000137173053,207
MGYP002574048817,208
MGYP002686129025,208
MGYP000618477432,209
MGYP002611822732,28
MGYP002082439762,28
MGYP000833733883,28
MGYP001087628112,28
MGYP001016106376,28
MGYP002511623323,144
MGYP000874539173,144
MGYP000752547017,144
MGYP002596842972,28
MGYP002731345424,28
MGYP002537379531,28
MGYP003387547266,210
MGYP006419270257,211
MGYP001270370989,212
MGYP001177758743,213
MGYP002968179266,28
MGYP000824624612,28
MGYP000330813549,214
MGYP000836895519,161
MGYP002350450372,215
MGYP001740796319,215
MGYP003988425553,216
MGYP000954542637,217
MGYP000807469581,218
MGYP000809888945,219
MGYP000910980297,220
MGYP000851686428,220
MGYP001394661034,221
MGYP000253081589,222
MGYP001552591302,223
MGYP000880115988,223
MGYP003724351767,224
MGYP006200615037,225
MGYP001129680778,225
MGYP004618424099,225
MGYP000953305392,225
MGYP001320567612,225
MGYP000883185838,226
MGYP005876831019,226
MGYP003291677187,227
MGYP004512320345,228
MGYP003291114301,229
MGYP001534287311,230
MGYP003545509094,231
MGYP004582782689,232
MGYP002139500462,233
MGYP001328437531,234
MGYP003174094460,234
MGYP002687688742,234
MGYP002507825863,234
MGYP000193514881,234
MGYP001806810303,235
MGYP001471813176,236
MGYP005896096909,237
MGYP000476796631,238
MGYP002237682679,238
MGYP001089939610,238
MGYP003315071942,238
MGYP001754783978,239
MGYP000463736744,240
MGYP006141419235,241
MGYP005681213765,242
MGYP001737702050,243
MGYP003535687729,244
MGYP001539091688,244
MGYP005915192537,244
MGYP000869213589,244
MGYP000283805969,244
MGYP000812270101,245
MGYP002654185560,246
MGYP003508045281,247
MGYP003396588189,248
MGYP000923644880,249
MGYP005647131285,250
MGYP001203166406,251
MGYP002234561537,252
MGYP003580309123,253
MGYP001508510484,254
MGYP002770358170,255
MGYP000219688201,255
MGYP004645269745,255
MGYP000933431462,255
MGYP004537690657,255
MGYP001738207211,255
MGYP003517548401,256
MGYP002538197148,257
MGYP003507002226,258
MGYP000784517406,71
MGYP002531654788,71
MGYP003523785637,71
MGYP001526435723,71
MGYP000985939930,71
MGYP003183494038,71
MGYP001328653666,71
MGYP003523079715,71
MGYP001660355484,259
MGYP006196420859,260
MGYP006088082635,260
MGYP003296357925,261
MGYP001403540884,261
MGYP003379204819,262
MGYP002328020725,263
MGYP002611272774,263
MGYP000796236619,263
MGYP000775673009,264
MGYP000229914253,265
MGYP003442465521,266
MGYP000561582608,267
MGYP001577327745,268
MGYP003138545451,269
MGYP003487317866,269
MGYP000784626871,269
MGYP000836988914,269
MGYP003339415917,269
MGYP000113958037,269
MGYP002648568111,269
MGYP000868568607,269
MGYP005782129821,269
MGYP000616738743,269
MGYP003705746593,269
MGYP003515865130,270
MGYP002630367549,270
MGYP001570679692,270
MGYP002772022589,270
MGYP001806035168,270
MGYP003277293046,271
MGYP001568221130,272
MGYP000926437603,271
MGYP004572279641,271
MGYP000029733398,271
MGYP003514634149,273
MGYP004443003727,271
MGYP001183404847,270
MGYP003506883539,274
MGYP000294678755,274
MGYP000611132339,275
MGYP006379438935,276
MGYP000920704926,277
MGYP000835063878,278
MGYP000930708726,279
MGYP000060618409,280
MGYP003598207722,281
MGYP000532575111,282
MGYP003235502759,282
MGYP005608052237,283
MGYP000282538243,284
MGYP003457418447,285
MGYP005716246239,286
MGYP002768136879,287
MGYP000723930061,287
MGYP000222901635,288
MGYP000811870025,289
MGYP000915222423,290
MGYP001395176633,291
MGYP003324880100,292
MGYP006291318131,293
MGYP004693747901,294
MGYP002741768539,294
MGYP001561122387,294
MGYP001522978297,294
MGYP000756974919,294
MGYP001237183343,294
MGYP001101118417,294
MGYP000122170629,295
MGYP003637556321,296
MGYP002759933173,297
MGYP000840186453,298
MGYP002628502038,299
MGYP001587821109,300
MGYP001125426179,301
MGYP003700630643,302
MGYP001460279633,302
MGYP005731246509,303
MGYP002793861695,304
MGYP001136822392,305
MGYP002707176062,306
MGYP003366750658,28
MGYP000831599676,28
MGYP004587730217,28
MGYP002621126900,28
MGYP002968172819,28
MGYP000233593688,28
MGYP000572664961,161
MGYP001725544198,161
MGYP000785408389,161
MGYP004508035825,161
MGYP002799432701,28
MGYP002679090880,307
MGYP003242461394,307
MGYP002751051475,307
MGYP003232619700,307
MGYP003266323214,308
MGYP003250556480,309
MGYP000094007252,310
MGYP001328026959,310
MGYP003419151902,310
MGYP003574201834,310
MGYP003279562733,311
MGYP000051960425,312
MGYP001331904115,313
MGYP001490258829,313
MGYP001297131923,313
MGYP002625681067,313
MGYP005702227903,313
MGYP002515431403,313
MGYP001200311630,313
MGYP003560731576,314
MGYP004618143819,314
MGYP000087414822,314
MGYP001128528187,315
MGYP001114429382,315
MGYP000751996329,316
MGYP000864938021,317
MGYP006207229697,35
MGYP001980572654,318
MGYP000645926496,319
MGYP001595186302,320
MGYP002626856716,321
MGYP001431192940,321
MGYP001518004433,321
MGYP003492062033,322
MGYP001149100337,323
MGYP000216101007,323
MGYP006075036603,324
MGYP003214659677,325
MGYP005755094693,326
MGYP001036256676,326
MGYP003953827887,327
MGYP000234765099,328
MGYP000883462070,329
MGYP006334276593,330
MGYP003523856450,331
MGYP000923337287,331
MGYP000605288413,332
MGYP001251330174,333
MGYP004492386179,334
MGYP000918300022,334
MGYP002729232945,334
MGYP000290465231,334
MGYP001132058143,335
MGYP004635649611,336
MGYP002039153848,337
MGYP003592365729,338
MGYP000114032454,339
MGYP001463263974,339
MGYP001199069707,339
MGYP005993570177,340
MGYP003345626467,340
MGYP001137512956,340
MGYP001336002727,340
MGYP002636082949,340
MGYP000266133040,340
MGYP006101001007,340
MGYP003983509561,340
MGYP000027395923,340
MGYP000991817796,340
MGYP003597916144,340
MGYP000146071438,341
MGYP001172903962,340
MGYP000954616994,340
MGYP003967768551,342
MGYP000946633414,340
MGYP000328122442,343
MGYP004534539359,23
MGYP000189405289,23
MGYP003177365925,23
MGYP000643502233,23
MGYP000451863023,23
MGYP000221212583,23
MGYP000710128384,23
MGYP002562610927,23
MGYP001545293210,23
MGYP002765870538,23
MGYP002578656407,23
MGYP000110883240,23
MGYP000665423298,23
MGYP001022066307,23
MGYP000010261998,23
MGYP000017655447,23
MGYP001660991710,23
MGYP000826898902,23
MGYP001465987426,23
MGYP003152352989,23
MGYP000673698234,23
MGYP001818438888,23
MGYP002681906802,344
MGYP000511465601,345
MGYP000741913665,346
MGYP002521951880,346
MGYP001081648088,346
MGYP000663780051,346
MGYP000112807358,346
MGYP000836237301,346
MGYP003213122128,346
MGYP002407697382,346
MGYP000531196286,347
MGYP002541559251,348
MGYP002613113121,349
MGYP000656361253,350
MGYP000800526487,351
MGYP003157687676,351
MGYP004454099887,352
MGYP000792358098,353
MGYP000692866702,353
MGYP000274802634,354
MGYP001210915688,355
MGYP000395554186,356
MGYP002101764750,356
MGYP006216864307,357
MGYP000871781653,358
MGYP001529067580,359
MGYP001486769874,359
MGYP003341780034,360
MGYP003445598998,361
MGYP001820794460,362
MGYP001353785270,363
MGYP002538761174,364
MGYP000970721355,364
MGYP003184575872,364
MGYP003169699127,364
MGYP000145787222,364
MGYP006118102403,364
MGYP006450025531,364
MGYP000128799416,364
MGYP001668249869,364
MGYP001174358649,120
MGYP001615929198,120
MGYP003971066511,120
MGYP005958181283,365
MGYP001524007930,366
MGYP001104673581,366
MGYP002757174183,366
MGYP000959485251,366
MGYP000045007596,366
MGYP002681096466,366
MGYP001656369616,366
MGYP000662008966,366
MGYP001636477825,367
MGYP002137903563,367
MGYP003286902623,367
MGYP006345522471,367
MGYP003472428051,368
MGYP002633251590,369
MGYP000478010845,370
MGYP006434035319,371
MGYP001157111249,372
MGYP000178592769,373
MGYP003440211932,374
MGYP000556566385,375
MGYP001312408776,375
MGYP002260195064,375
MGYP000963774048,376
MGYP002796527501,376
MGYP000519799910,376
MGYP000415860614,376
MGYP001798039183,377
MGYP003562188087,378
MGYP001482686427,379
MGYP004727316357,380
MGYP001249892355,380
MGYP003520953836,380
MGYP002483953981,380
MGYP000714263650,380
MGYP000453102777,380
MGYP004567310477,380
MGYP000614021289,380
MGYP000403036362,381
MGYP003227561369,382
MGYP002725035963,164
MGYP002762257514,164
MGYP001745492280,164
MGYP003106869267,164
MGYP004498132649,144
MGYP005766428601,144
MGYP003071391250,28
MGYP005766730141,28
MGYP000355489091,383
MGYP006357610739,384
MGYP006441084311,385
MGYP000742587429,386
MGYP000783510634,387
MGYP004665996683,388
MGYP001594741466,389
MGYP000903915394,390
MGYP000603123394,391
MGYP000337002998,392
MGYP003175439419,393
MGYP000417776839,393
MGYP003271517374,394
MGYP000368353185,394
MGYP001531791486,394
MGYP002433548587,84
MGYP000898752052,395
MGYP000237730012,395
MGYP000186489768,395
MGYP006197662369,395
MGYP000061640447,395
MGYP001440308565,395
MGYP002572430332,395
MGYP001211598278,395
MGYP001294644504,395
MGYP002591506488,396
MGYP003611029921,396
MGYP003586997507,396
MGYP000026426466,396
MGYP000204059539,396
MGYP002953021934,396
MGYP001338053833,396
MGYP001799483430,397
MGYP000816196054,398
MGYP004552283423,398
MGYP001606240668,398
MGYP000016229192,399
MGYP001270205131,399
MGYP000966024799,399
MGYP000964674099,399
MGYP000982566701,399
MGYP000304236190,198
MGYP002586473366,198
MGYP001268286621,198
MGYP000619910260,400
MGYP002518492134,401
MGYP001180747958,402
MGYP001941499899,402
MGYP000968410760,403
MGYP006253826283,403
MGYP001492893904,403
MGYP005768152381,404
MGYP002530240206,404
MGYP000124450894,405
MGYP005909182671,406
MGYP001036984502,407
MGYP004589368955,408
MGYP000543077711,408
MGYP002290661055,408
MGYP003199584628,307
MGYP002431544968,307
MGYP000178951410,307
MGYP002765735307,307
MGYP002587508304,307
MGYP000958813304,307
MGYP003252769843,307
MGYP004582244055,307
MGYP002599272175,307
MGYP004662378495,307
MGYP002762618988,307
MGYP002537505511,307
MGYP000177642100,307
MGYP002726347777,307
MGYP001298575594,307
MGYP002726883862,307
MGYP002562354820,349
MGYP002517165877,409
MGYP002791686517,410
MGYP000230649110,410
MGYP001306650312,410
MGYP000677031323,411
MGYP000543536549,411
MGYP000332486718,411
MGYP003543024545,411
MGYP003171421329,411
MGYP005798592211,412
MGYP000460019734,413
MGYP000036944472,413
MGYP001217714826,414
MGYP002825678073,414
MGYP001220831791,414
MGYP000090133413,414
MGYP001312745537,414
MGYP002525000504,414
MGYP000986935809,414
MGYP001808125624,414
MGYP000350625900,414
MGYP002534198485,414
MGYP002518955672,414
MGYP003087737619,414
MGYP001783671167,414
MGYP001186372662,414
MGYP003438189322,414
MGYP005948582125,414
MGYP000484112108,414
MGYP002519202564,414
MGYP001622890224,414
MGYP000341151319,414
MGYP003163860347,414
MGYP000139027217,414
MGYP006363712297,414
MGYP001631268892,414
MGYP002662047428,414
MGYP000749667057,415
MGYP000784392789,414
MGYP000015450294,416
MGYP002975610562,417
MGYP003555238542,418
MGYP001956999005,419
MGYP001194963086,419
MGYP002701139342,419
MGYP002629886708,419
MGYP005732018281,419
MGYP003352816499,419
MGYP002880389065,419
MGYP000294135879,419
MGYP001617199290,420
MGYP001423813591,421
MGYP005718254845,171
MGYP003402033763,171
MGYP003103506132,422
MGYP000148849422,422
MGYP004645873799,422
MGYP000958705790,423
MGYP001200597865,120
MGYP001340972685,120
MGYP006160820299,120
MGYP001400674737,120
MGYP001419270966,120
MGYP001440033727,120
MGYP006268393325,424
MGYP000761845124,425
MGYP001400942840,426
MGYP003324449634,427
MGYP006079973887,427
MGYP000380317352,428
MGYP001367882221,428
MGYP001765731754,428
MGYP000339810822,428
MGYP003195844079,428
MGYP002738686524,428
MGYP001184159639,428
MGYP001468262204,428
MGYP001430753120,428
MGYP001343767976,429
MGYP000730207096,430
MGYP003574157315,431
MGYP004628659499,432
MGYP001123855243,433
MGYP001468070352,434
MGYP001080658919,434
MGYP003524139429,434
MGYP004695598557,434
MGYP003207041047,434
MGYP001010346228,435
MGYP005763776737,436
MGYP003167262149,437
MGYP000841600900,438
MGYP001238972500,439
MGYP001101203052,12
MGYP001466321098,12
MGYP005892921329,440
MGYP006376253329,441
MGYP003104669511,441
MGYP002766710872,442
MGYP003284891964,441
MGYP002294199278,441
MGYP000794998128,443
MGYP003620591792,444
MGYP001320399101,444
MGYP000822161164,444
MGYP002637621821,445
MGYP000642040398,446
MGYP006111239029,447
MGYP000180891678,448
MGYP000771987637,449
MGYP005723192691,450
MGYP001211817169,451
MGYP004521885565,452
MGYP006353266975,452
MGYP002066287439,453
MGYP003571691573,454
MGYP006076240085,454
MGYP003695136663,454
MGYP003499455834,455
MGYP006125904747,456
MGYP003180340672,457
MGYP003595421045,457
MGYP004629610863,458
MGYP001170296504,459
MGYP000276845632,459
MGYP006342812325,460
MGYP000958524861,459
MGYP001272326401,461
MGYP004729416753,462
MGYP001205886107,461
MGYP000329321866,463
MGYP000992823806,463
MGYP003193621253,463
MGYP003457078689,462
MGYP003572853571,464
MGYP001138912093,465
MGYP001444838669,466
MGYP005768888773,466
MGYP000014653377,467
MGYP000852931049,468
MGYP002773697408,469
MGYP005702209355,470
MGYP001463314949,470
MGYP001770479119,471
MGYP002737950596,472
MGYP000957084498,473
MGYP005970459615,474
MGYP001446186185,350
MGYP003235323031,350
MGYP004556387415,350
MGYP005752750495,350
MGYP000664837249,350
MGYP002544779633,350
MGYP002581703001,350
MGYP002724691799,350
MGYP002645742559,350
MGYP003219210560,350
MGYP002544336998,350
MGYP002445228188,350
MGYP001118193222,350
MGYP000759053676,350
MGYP000407588565,350
MGYP003402821759,350
MGYP000984234095,350
MGYP003647773676,475
MGYP006386155419,476
MGYP001543994327,410
MGYP005750897935,410
MGYP003182561559,410
MGYP000559378122,477
MGYP003971710703,477
MGYP001007204213,477
MGYP002648860840,477
MGYP000246142928,477
MGYP001476462839,477
MGYP001365363885,477
MGYP005926556339,478
MGYP000997538780,478
MGYP002655747369,478
MGYP002548507384,478
MGYP006090324067,478
MGYP000499920497,479
MGYP006209813933,480
MGYP004714209683,481
MGYP000880983540,482
MGYP000041657224,482
MGYP001431305429,483
MGYP000661094534,483
MGYP001060754780,483
MGYP000693487642,483
MGYP000661091136,483
MGYP003373589338,483
MGYP000287957951,483
MGYP003237652881,483
MGYP003295237656,483
MGYP002572168686,483
MGYP000729104589,483
MGYP003162168745,483
MGYP000789970263,484
MGYP003560203875,484
MGYP002602456197,485
MGYP000180411033,486
MGYP001757699312,486
MGYP001060846689,487
MGYP005772107017,487
MGYP000768091066,488
MGYP003193644630,488
MGYP002633883084,489
MGYP000879957141,490
MGYP003313781980,491
MGYP000991171516,492
MGYP000974986503,492
MGYP001589943520,493
MGYP003973259485,494
MGYP000418197646,495
MGYP005978796499,496
MGYP001255180995,497
MGYP003996111321,498
MGYP001217191196,499
MGYP002572930248,500
MGYP000696860226,501
MGYP000919224963,501
MGYP003400488659,501
MGYP002553045551,502
MGYP001955517409,503
MGYP000957852538,503
MGYP002622231581,503
MGYP001080154191,503
MGYP006099040219,503
MGYP000772145420,503
MGYP003303365889,503
MGYP003090335245,503
MGYP001413644069,503
