protein,cluster
MGYP005889966093,154
MGYP001785917696,155
MGYP001522811368,155
MGYP002282327054,155
MGYP004669281067,155
MGYP005609732943,156
MGYP003519641510,157
MGYP001529254814,157
MGYP005977427409,157
MGYP006343391213,157
MGYP003140969908,157
MGYP001483435831,157
MGYP003389076345,157
MGYP000632897209,157
MGYP000838300531,157
MGYP000590400353,140
MGYP004646412327,140
MGYP004597713835,140
MGYP000411885167,140
MGYP002596084419,140
MGYP000757867350,140
MGYP002585578476,140
MGYP000178852111,140
MGYP002230348848,140
MGYP003288708258,140
MGYP000718045561,140
MGYP002298052746,140
MGYP000893922707,140
MGYP004657630737,140
MGYP000560335725,140
MGYP002770660688,140
MGYP003056818173,140
MGYP002225496675,140
MGYP003372142957,140
MGYP000209894141,140
MGYP002658373504,140
MGYP001658011065,140
MGYP002310890963,140
MGYP000254552526,140
MGYP001071654292,140
MGYP004570455549,158
MGYP000330990323,27
MGYP002706045347,27
MGYP000970211444,159
MGYP003102037762,27
MGYP004707627243,32
MGYP000478590180,160
MGYP002252231435,27
MGYP000749535123,161
MGYP000905075317,161
MGYP005772165377,162
MGYP005978092867,162
MGYP004609958983,163
MGYP001341134433,164
MGYP003908363281,165
MGYP001417660729,166
MGYP003345773097,167
MGYP005710135215,168
MGYP003244483357,169
MGYP000038990992,169
MGYP000025979910,169
MGYP001768264418,169
MGYP003995185681,169
MGYP000883896395,169
MGYP001386770337,170
MGYP001513510439,171
MGYP000010246689,172
MGYP000983172282,172
MGYP000231812413,173
MGYP001222641530,174
MGYP001210735684,174
MGYP000182445994,175
MGYP003300620333,176
MGYP000946023591,177
MGYP000928045683,178
MGYP005972352007,178
MGYP001317524930,178
MGYP000271963224,178
MGYP001135784652,178
MGYP000401103812,179
MGYP002717664261,179
MGYP000155938620,179
MGYP000325075467,179
MGYP000541164625,179
MGYP001615588479,179
MGYP000053448402,179
MGYP001150037469,179
MGYP001193205089,179
MGYP001210715392,179
MGYP001244250113,179
MGYP006149680269,179
MGYP002714203894,179
MGYP000278216538,179
MGYP001481708372,179
MGYP000705588737,179
MGYP002525559165,179
MGYP000531502590,179
MGYP006289415471,179
MGYP006101461757,179
MGYP001223482791,179
MGYP000860312080,180
MGYP000761599025,181
MGYP000156936801,182
MGYP001791235331,183
MGYP000901738877,184
MGYP002633385413,185
MGYP003391901834,186
MGYP001003178297,185
MGYP003482899503,187
MGYP003428973586,188
MGYP003348868318,189
MGYP000795801609,190
MGYP001060471956,190
MGYP000587996094,190
MGYP000611794321,190
MGYP006107232941,190
MGYP002778681986,190
MGYP005624907601,190
MGYP001131683462,190
MGYP000193317918,190
MGYP006368307387,190
MGYP006101799017,190
MGYP000974946747,191
MGYP001631269402,192
MGYP000156844038,192
MGYP004445221759,192
MGYP000839876841,193
MGYP000978674026,194
MGYP000580849512,195
MGYP001247254234,196
MGYP004686691357,196
MGYP001331709931,196
MGYP005759868741,196
MGYP001560043054,196
MGYP000921326168,196
MGYP003387195167,196
MGYP001120840398,196
MGYP001408343396,196
MGYP001498334298,196
MGYP001547889901,196
MGYP004567555473,196
MGYP005704881709,196
MGYP000014671972,196
MGYP003443510460,197
MGYP002799568475,198
MGYP005721232265,199
MGYP001446799866,198
MGYP002531693958,200
MGYP001038438269,201
MGYP000143098929,190
MGYP000161198749,190
MGYP003663202131,190
MGYP002642302360,190
MGYP000284599007,190
MGYP000597363523,190
MGYP001775132489,190
MGYP001530569284,190
MGYP001269575737,190
MGYP003461107273,190
MGYP001162731966,190
MGYP002770126413,190
MGYP003031098883,190
MGYP005729093071,190
MGYP001376717819,190
MGYP000488705407,190
MGYP001418103223,190
MGYP003571907727,190
MGYP000610352312,190
MGYP005731242487,190
MGYP000348116747,190
MGYP006273162517,190
MGYP000630876778,190
MGYP000672403495,190
MGYP001585074678,190
MGYP001521881280,190
MGYP003324451627,190
MGYP002839844036,190
MGYP002724153505,190
MGYP005626447323,190
MGYP001791625403,190
MGYP001176280878,190
MGYP001263505863,190
MGYP001286999346,190
MGYP002524978229,190
MGYP005846307909,190
MGYP006303295387,190
MGYP001311004104,190
MGYP003340199898,190
MGYP003301187397,202
MGYP000312480379,203
MGYP002552464713,203
MGYP000964514929,203
MGYP004632584737,203
MGYP003377606373,203
MGYP000688878896,204
MGYP000137173053,205
MGYP002574048817,206
MGYP002686129025,206
MGYP000618477432,207
MGYP002611822732,27
MGYP002082439762,27
MGYP000833733883,27
MGYP001087628112,27
MGYP001016106376,27
MGYP002511623323,140
MGYP000874539173,140
MGYP000752547017,140
MGYP002596842972,27
MGYP002731345424,27
MGYP002537379531,27
MGYP003387547266,208
MGYP006419270257,209
MGYP001270370989,210
MGYP001177758743,211
MGYP002968179266,27
MGYP000824624612,27
MGYP000330813549,212
MGYP000836895519,159
MGYP002350450372,213
MGYP001740796319,213
MGYP003988425553,214
MGYP000954542637,215
MGYP000807469581,216
MGYP000809888945,217
MGYP000910980297,218
MGYP000851686428,218
MGYP001394661034,219
MGYP000253081589,220
MGYP001552591302,221
MGYP000880115988,221
MGYP003724351767,222
MGYP006200615037,223
MGYP001129680778,223
MGYP004618424099,223
MGYP000953305392,223
MGYP001320567612,223
MGYP000883185838,224
MGYP005876831019,224
MGYP003291677187,225
MGYP004512320345,226
MGYP003291114301,227
MGYP001534287311,228
MGYP003545509094,229
MGYP004582782689,230
MGYP002139500462,231
MGYP001328437531,232
MGYP003174094460,232
MGYP002687688742,232
MGYP002507825863,232
MGYP000193514881,232
MGYP001806810303,233
MGYP001471813176,234
MGYP005896096909,235
MGYP000476796631,236
MGYP002237682679,236
MGYP001089939610,236
MGYP003315071942,236
MGYP001754783978,237
MGYP000463736744,238
MGYP006141419235,239
MGYP005681213765,240
MGYP001737702050,241
MGYP003535687729,242
MGYP001539091688,242
MGYP005915192537,242
MGYP000869213589,242
MGYP000283805969,242
MGYP000812270101,243
MGYP002654185560,244
MGYP003508045281,245
MGYP003396588189,246
MGYP000923644880,247
MGYP005647131285,248
MGYP001203166406,249
MGYP002234561537,250
MGYP003580309123,251
MGYP001508510484,252
MGYP002770358170,253
MGYP000219688201,253
MGYP004645269745,253
MGYP000933431462,253
MGYP004537690657,253
MGYP001738207211,253
MGYP003517548401,254
MGYP002538197148,255
MGYP003507002226,256
MGYP000784517406,70
MGYP002531654788,70
MGYP003523785637,70
MGYP001526435723,70
MGYP000985939930,70
MGYP003183494038,70
MGYP001328653666,70
MGYP003523079715,70
MGYP001660355484,257
MGYP006196420859,258
MGYP006088082635,258
MGYP003296357925,259
MGYP001403540884,259
MGYP003379204819,260
MGYP002328020725,261
MGYP002611272774,261
MGYP000796236619,261
MGYP000775673009,262
MGYP000229914253,263
MGYP003442465521,264
MGYP000561582608,265
MGYP001577327745,266
MGYP003138545451,267
MGYP003487317866,267
MGYP000784626871,267
MGYP000836988914,267
MGYP003339415917,267
MGYP000113958037,267
MGYP002648568111,267
MGYP000868568607,267
MGYP005782129821,267
MGYP000616738743,267
MGYP003705746593,267
MGYP003515865130,268
MGYP002630367549,268
MGYP001570679692,268
MGYP002772022589,268
MGYP001806035168,268
MGYP003277293046,269
MGYP001568221130,270
MGYP000926437603,269
MGYP004572279641,269
MGYP000029733398,269
MGYP003514634149,271
MGYP004443003727,269
MGYP001183404847,268
MGYP003506883539,272
MGYP000294678755,272
MGYP000611132339,273
MGYP006379438935,274
MGYP000920704926,275
MGYP000835063878,276
MGYP000930708726,277
MGYP000060618409,278
MGYP003598207722,279
MGYP000532575111,280
MGYP003235502759,280
MGYP005608052237,281
MGYP000282538243,282
MGYP003457418447,283
MGYP005716246239,284
MGYP002768136879,285
MGYP000723930061,285
MGYP000222901635,286
MGYP000811870025,287
MGYP000915222423,288
MGYP001395176633,289
MGYP003324880100,290
MGYP006291318131,291
MGYP004693747901,292
MGYP002741768539,292
MGYP001561122387,292
MGYP001522978297,292
MGYP000756974919,292
MGYP001237183343,292
MGYP001101118417,292
MGYP000122170629,293
MGYP003637556321,294
MGYP002759933173,295
MGYP000840186453,296
MGYP002628502038,297
MGYP001587821109,298
MGYP001125426179,299
MGYP003700630643,300
MGYP001460279633,300
MGYP005731246509,301
MGYP002793861695,302
MGYP001136822392,303
MGYP002707176062,304
MGYP003366750658,27
MGYP000831599676,27
MGYP004587730217,27
MGYP002621126900,27
MGYP002968172819,27
MGYP000233593688,27
MGYP000572664961,159
MGYP001725544198,159
MGYP000785408389,159
MGYP004508035825,159
MGYP002799432701,27
MGYP002679090880,305
MGYP003242461394,305
MGYP002751051475,305
MGYP003232619700,305
MGYP003266323214,306
MGYP003250556480,307
MGYP000094007252,308
MGYP001328026959,308
MGYP003419151902,308
MGYP003574201834,308
MGYP003279562733,309
MGYP000051960425,310
MGYP001331904115,311
MGYP001490258829,311
MGYP001297131923,311
MGYP002625681067,311
MGYP005702227903,311
MGYP002515431403,311
MGYP001200311630,311
MGYP003560731576,312
MGYP004618143819,312
MGYP000087414822,312
MGYP001128528187,313
MGYP001114429382,313
MGYP000751996329,314
MGYP000864938021,315
MGYP006207229697,34
MGYP001980572654,316
MGYP000645926496,317
MGYP001595186302,318
MGYP002626856716,319
MGYP001431192940,319
MGYP001518004433,319
MGYP003492062033,320
MGYP001149100337,321
MGYP000216101007,321
MGYP006075036603,322
MGYP003214659677,323
MGYP005755094693,324
MGYP001036256676,324
MGYP003953827887,325
MGYP000234765099,326
MGYP000883462070,327
MGYP006334276593,328
MGYP003523856450,329
MGYP000923337287,329
MGYP000605288413,330
MGYP001251330174,331
MGYP004492386179,332
MGYP000918300022,332
MGYP002729232945,332
MGYP000290465231,332
MGYP001132058143,333
MGYP004635649611,334
MGYP002039153848,335
MGYP003592365729,336
MGYP000114032454,337
MGYP001463263974,337
MGYP001199069707,337
MGYP005993570177,338
MGYP003345626467,338
MGYP001137512956,338
MGYP001336002727,338
MGYP002636082949,338
MGYP000266133040,338
MGYP006101001007,338
MGYP003983509561,338
MGYP000027395923,338
MGYP000991817796,338
MGYP003597916144,338
MGYP000146071438,339
MGYP001172903962,338
MGYP000954616994,338
MGYP003967768551,340
MGYP000946633414,338
MGYP000328122442,341
MGYP004534539359,22
MGYP000189405289,22
MGYP003177365925,22
MGYP000643502233,22
MGYP000451863023,22
MGYP000221212583,22
MGYP000710128384,22
MGYP002562610927,22
MGYP001545293210,22
MGYP002765870538,22
MGYP002578656407,22
MGYP000110883240,22
MGYP000665423298,22
MGYP001022066307,22
MGYP000010261998,22
MGYP000017655447,22
MGYP001660991710,22
MGYP000826898902,22
MGYP001465987426,22
MGYP003152352989,22
MGYP000673698234,22
MGYP001818438888,22
MGYP002681906802,342
MGYP000511465601,343
MGYP000741913665,344
MGYP002521951880,344
MGYP001081648088,344
MGYP000663780051,344
MGYP000112807358,344
MGYP000836237301,344
MGYP003213122128,344
MGYP002407697382,344
MGYP000531196286,345
MGYP002541559251,346
MGYP002613113121,347
MGYP000656361253,348
MGYP000800526487,349
MGYP003157687676,349
MGYP004454099887,350
MGYP000792358098,351
MGYP000692866702,351
MGYP000274802634,352
MGYP001210915688,353
MGYP000395554186,354
MGYP002101764750,354
MGYP006216864307,355
MGYP000871781653,356
MGYP001529067580,357
MGYP001486769874,357
MGYP003341780034,358
MGYP003445598998,359
MGYP001820794460,360
MGYP001353785270,361
MGYP002538761174,362
MGYP000970721355,362
MGYP003184575872,362
MGYP003169699127,362
MGYP000145787222,362
MGYP006118102403,362
MGYP006450025531,362
MGYP000128799416,362
MGYP001668249869,362
MGYP001174358649,118
MGYP001615929198,118
MGYP003971066511,118
MGYP005958181283,363
MGYP001524007930,364
MGYP001104673581,364
MGYP002757174183,364
MGYP000959485251,364
MGYP000045007596,364
MGYP002681096466,364
MGYP001656369616,364
MGYP000662008966,364
MGYP001636477825,365
MGYP002137903563,365
MGYP003286902623,365
MGYP006345522471,365
MGYP003472428051,366
MGYP002633251590,367
MGYP000478010845,368
MGYP006434035319,369
MGYP001157111249,370
MGYP000178592769,371
MGYP003440211932,372
MGYP000556566385,373
MGYP001312408776,373
MGYP002260195064,373
MGYP000963774048,374
MGYP002796527501,374
MGYP000519799910,374
MGYP000415860614,374
MGYP001798039183,375
MGYP003562188087,376
MGYP001482686427,377
MGYP004727316357,378
MGYP001249892355,378
MGYP003520953836,378
MGYP002483953981,378
MGYP000714263650,378
MGYP000453102777,378
MGYP004567310477,378
MGYP000614021289,378
MGYP000403036362,379
MGYP003227561369,380
MGYP002725035963,162
MGYP002762257514,162
MGYP001745492280,162
MGYP003106869267,162
MGYP004498132649,140
MGYP005766428601,140
MGYP003071391250,27
MGYP005766730141,27
MGYP000355489091,381
MGYP006357610739,382
MGYP006441084311,383
MGYP000742587429,384
MGYP000783510634,385
MGYP004665996683,386
MGYP001594741466,387
MGYP000903915394,388
MGYP000603123394,389
MGYP000337002998,390
MGYP003175439419,391
MGYP000417776839,391
MGYP003271517374,392
MGYP000368353185,392
MGYP001531791486,392
MGYP002433548587,648
MGYP000898752052,393
MGYP000237730012,393
MGYP000186489768,393
MGYP006197662369,393
MGYP000061640447,393
MGYP001440308565,393
MGYP002572430332,393
MGYP001211598278,393
MGYP001294644504,393
MGYP002591506488,394
MGYP003611029921,394
MGYP003586997507,394
MGYP000026426466,394
MGYP000204059539,394
MGYP002953021934,394
MGYP001338053833,394
MGYP001799483430,395
MGYP000816196054,396
MGYP004552283423,396
MGYP001606240668,396
MGYP000016229192,397
MGYP001270205131,397
MGYP000966024799,397
MGYP000964674099,397
MGYP000982566701,397
MGYP000304236190,196
MGYP002586473366,196
MGYP001268286621,196
MGYP000619910260,398
MGYP002518492134,399
MGYP001180747958,400
MGYP001941499899,400
MGYP000968410760,401
MGYP006253826283,401
MGYP001492893904,401
MGYP005768152381,402
MGYP002530240206,402
MGYP000124450894,403
MGYP005909182671,404
MGYP001036984502,405
MGYP004589368955,406
MGYP000543077711,406
MGYP002290661055,406
MGYP003199584628,305
MGYP002431544968,305
MGYP000178951410,305
MGYP002765735307,305
MGYP002587508304,305
MGYP000958813304,305
MGYP003252769843,305
MGYP004582244055,305
MGYP002599272175,305
MGYP004662378495,305
MGYP002762618988,305
MGYP002537505511,305
MGYP000177642100,305
MGYP002726347777,305
MGYP001298575594,305
MGYP002726883862,305
MGYP002562354820,347
MGYP002517165877,407
MGYP002791686517,408
MGYP000230649110,408
MGYP001306650312,408
MGYP000677031323,409
MGYP000543536549,409
MGYP000332486718,409
MGYP003543024545,409
MGYP003171421329,409
MGYP005798592211,410
MGYP000460019734,411
MGYP000036944472,411
MGYP001217714826,412
MGYP002825678073,412
MGYP001220831791,412
MGYP000090133413,412
MGYP001312745537,412
MGYP002525000504,412
MGYP000986935809,412
MGYP001808125624,412
MGYP000350625900,412
MGYP002534198485,412
MGYP002518955672,412
MGYP003087737619,412
MGYP001783671167,412
MGYP001186372662,412
MGYP003438189322,412
MGYP005948582125,412
MGYP000484112108,412
MGYP002519202564,412
MGYP001622890224,412
MGYP000341151319,412
MGYP003163860347,412
MGYP000139027217,412
MGYP006363712297,412
MGYP001631268892,412
MGYP002662047428,412
MGYP000749667057,413
MGYP000784392789,412
MGYP000015450294,414
MGYP002975610562,415
MGYP003555238542,416
MGYP001956999005,417
MGYP001194963086,417
MGYP002701139342,417
MGYP002629886708,417
MGYP005732018281,417
MGYP003352816499,417
MGYP002880389065,417
MGYP000294135879,417
MGYP001617199290,418
MGYP001423813591,419
MGYP005718254845,169
MGYP003402033763,169
MGYP003103506132,420
MGYP000148849422,420
MGYP004645873799,420
MGYP000958705790,421
MGYP001200597865,118
MGYP001340972685,118
MGYP006160820299,118
MGYP001400674737,118
MGYP001419270966,118
MGYP001440033727,118
MGYP006268393325,422
MGYP000761845124,423
MGYP001400942840,424
MGYP003324449634,425
MGYP006079973887,425
MGYP000380317352,426
MGYP001367882221,426
MGYP001765731754,426
MGYP000339810822,426
MGYP003195844079,426
MGYP002738686524,426
MGYP001184159639,426
MGYP001468262204,426
MGYP001430753120,426
MGYP001343767976,427
MGYP000730207096,428
MGYP003574157315,429
MGYP004628659499,430
MGYP001123855243,431
MGYP001468070352,432
MGYP001080658919,432
MGYP003524139429,432
MGYP004695598557,432
MGYP003207041047,432
MGYP001010346228,433
MGYP005763776737,434
MGYP003167262149,435
MGYP000841600900,436
MGYP001238972500,437
MGYP001101203052,1989
MGYP001466321098,1989
MGYP005892921329,438
MGYP006376253329,439
MGYP003104669511,439
MGYP002766710872,440
MGYP003284891964,439
MGYP002294199278,439
MGYP000794998128,441
MGYP003620591792,442
MGYP001320399101,442
MGYP000822161164,442
MGYP002637621821,443
MGYP000642040398,444
MGYP006111239029,445
MGYP000180891678,446
MGYP000771987637,447
MGYP005723192691,448
MGYP001211817169,449
MGYP004521885565,450
MGYP006353266975,450
MGYP002066287439,451
MGYP003571691573,452
MGYP006076240085,452
MGYP003695136663,452
MGYP003499455834,453
MGYP006125904747,454
MGYP003180340672,455
MGYP003595421045,455
MGYP004629610863,456
MGYP001170296504,457
MGYP000276845632,457
MGYP006342812325,458
MGYP000958524861,457
MGYP001272326401,459
MGYP004729416753,460
MGYP001205886107,459
MGYP000329321866,461
MGYP000992823806,461
MGYP003193621253,461
MGYP003457078689,460
MGYP003572853571,462
MGYP001138912093,463
MGYP001444838669,464
MGYP005768888773,464
MGYP000014653377,465
MGYP000852931049,466
MGYP002773697408,467
MGYP005702209355,468
MGYP001463314949,468
MGYP001770479119,469
MGYP002737950596,470
MGYP000957084498,471
MGYP005970459615,472
MGYP001446186185,348
MGYP003235323031,348
MGYP004556387415,348
MGYP005752750495,348
MGYP000664837249,348
MGYP002544779633,348
MGYP002581703001,348
MGYP002724691799,348
MGYP002645742559,348
MGYP003219210560,348
MGYP002544336998,348
MGYP002445228188,348
MGYP001118193222,348
MGYP000759053676,348
MGYP000407588565,348
MGYP003402821759,348
MGYP000984234095,348
MGYP003647773676,473
MGYP006386155419,474
MGYP001543994327,408
MGYP005750897935,408
MGYP003182561559,408
MGYP000559378122,475
MGYP003971710703,475
MGYP001007204213,475
MGYP002648860840,475
MGYP000246142928,475
MGYP001476462839,475
MGYP001365363885,475
MGYP005926556339,476
MGYP000997538780,476
MGYP002655747369,476
MGYP002548507384,476
MGYP006090324067,476
MGYP000499920497,477
MGYP006209813933,478
MGYP004714209683,479
MGYP000880983540,480
MGYP000041657224,480
MGYP001431305429,481
MGYP000661094534,481
MGYP001060754780,481
MGYP000693487642,481
MGYP000661091136,481
MGYP003373589338,481
MGYP000287957951,481
MGYP003237652881,481
MGYP003295237656,481
MGYP002572168686,481
MGYP000729104589,481
MGYP003162168745,481
MGYP000789970263,482
MGYP003560203875,482
MGYP002602456197,483
MGYP000180411033,484
MGYP001757699312,484
MGYP001060846689,485
MGYP005772107017,485
MGYP000768091066,486
MGYP003193644630,486
MGYP002633883084,487
MGYP000879957141,488
MGYP003313781980,489
MGYP000991171516,490
MGYP000974986503,490
MGYP001589943520,491
MGYP003973259485,492
MGYP000418197646,493
MGYP005978796499,494
MGYP001255180995,495
MGYP003996111321,496
MGYP001217191196,497
MGYP002572930248,498
MGYP000696860226,499
MGYP000919224963,499
MGYP003400488659,499
MGYP002553045551,500
MGYP001955517409,501
MGYP000957852538,501
MGYP002622231581,501
MGYP001080154191,501
MGYP006099040219,501
MGYP000772145420,501
MGYP003303365889,501
