id,biome,cluster
MGYP000139485951,unknown,50
MGYP000981522792,unknown,51
MGYP000796831256,unknown,52
MGYP005675448481,unknown,53
MGYP000885213076,unknown,54
MGYP001448399547,unknown,55
MGYP001815232138,unknown,56
MGYP000257059318,unknown,57
MGYP005784983865,unknown,58
MGYP001026987228,unknown,58
MGYP003290868210,unknown,58
MGYP002520848057,unknown,58
MGYP004518280933,unknown,58
MGYP006385222557,unknown,58
MGYP006364897839,unknown,59
MGYP002790102076,unknown,60
MGYP001240080281,unknown,61
MGYP003520726924,unknown,61
MGYP000082496679,unknown,61
MGYP000539716168,unknown,61
MGYP000822241691,unknown,61
MGYP001058909087,unknown,61
MGYP001087280811,unknown,62
MGYP001229697304,unknown,62
MGYP001625122417,unknown,63
MGYP003636126485,unknown,64
MGYP003113612537,unknown,64
MGYP001440910267,unknown,64
MGYP001792504912,unknown,65
MGYP003584933092,unknown,66
MGYP000727425033,unknown,67
MGYP000688082507,unknown,67
MGYP001152953167,unknown,67
MGYP000858151996,unknown,67
MGYP006423832049,unknown,67
MGYP000859627391,unknown,67
MGYP000406285440,unknown,67
MGYP001766176634,unknown,67
MGYP001235198664,unknown,68
MGYP004577526323,unknown,69
MGYP002546785654,unknown,70
MGYP002509686429,unknown,71
MGYP003106019125,unknown,71
MGYP000796525555,unknown,71
MGYP003601708531,unknown,71
MGYP004523884673,unknown,71
MGYP006235789903,unknown,71
MGYP001100299149,unknown,71
MGYP001347967264,unknown,71
MGYP000302427506,unknown,71
MGYP004476988093,unknown,71
MGYP000596996295,unknown,71
MGYP001280133236,unknown,71
MGYP006105016747,unknown,71
MGYP000322491864,unknown,71
MGYP003705858679,unknown,71
MGYP000380264322,unknown,71
MGYP000951159177,unknown,71
MGYP006251066105,unknown,71
MGYP001480396831,unknown,71
MGYP000484242510,unknown,71
MGYP001364063637,unknown,72
MGYP005629616803,unknown,72
MGYP005999101173,unknown,72
MGYP003325089381,unknown,72
MGYP003866906793,unknown,73
MGYP000929926029,unknown,74
MGYP001305117445,unknown,40
MGYP006175463267,unknown,40
MGYP001307333228,unknown,40
MGYP002713204922,unknown,40
MGYP001173305733,unknown,40
MGYP001524375787,unknown,40
MGYP002706983636,unknown,40
MGYP000763901634,unknown,75
MGYP001531369765,unknown,76
MGYP000707800138,unknown,77
MGYP000759921190,unknown,78
MGYP000722383743,unknown,79
MGYP002772307598,unknown,80
MGYP004664951565,unknown,80
MGYP000745814528,unknown,80
MGYP002678517066,unknown,80
MGYP002664186727,unknown,80
MGYP005872904071,unknown,80
MGYP002772764084,unknown,80
MGYP000793599209,unknown,80
MGYP004497558409,unknown,80
MGYP002249234024,unknown,81
MGYP001737463954,unknown,82
MGYP004654870385,unknown,83
MGYP000038838088,unknown,83
MGYP003368205443,unknown,83
MGYP002627159086,unknown,83
MGYP001212280784,unknown,84
MGYP003109573768,unknown,85
MGYP003607926738,unknown,85
MGYP000656014887,unknown,85
MGYP000199464559,unknown,86
MGYP002535725461,unknown,86
MGYP003264972759,unknown,87
MGYP000738742725,unknown,87
MGYP001171416048,unknown,87
MGYP005974209379,unknown,87
MGYP000151770421,unknown,87
MGYP005765694895,unknown,87
MGYP000726182050,unknown,88
MGYP003585444218,unknown,89
MGYP003315261912,unknown,88
MGYP002513507840,unknown,89
MGYP005840043345,unknown,90
MGYP001578221808,unknown,91
MGYP002633051820,unknown,92
MGYP001155315197,unknown,93
MGYP001174598798,unknown,40
MGYP002182928096,unknown,40
MGYP004598722483,unknown,94
MGYP001056160102,unknown,94
MGYP000609885367,unknown,95
MGYP005970279557,unknown,96
MGYP001360353644,unknown,97
MGYP003631660835,unknown,98
MGYP000367882981,unknown,99
MGYP003687513447,unknown,100
MGYP001041853195,unknown,101
MGYP003514646895,unknown,102
MGYP004504192095,unknown,102
MGYP001318240106,unknown,102
MGYP004564915777,unknown,102
MGYP001083423736,unknown,103
MGYP003300567938,unknown,104
MGYP006100183105,unknown,104
MGYP001547555712,unknown,104
MGYP001119103216,unknown,104
MGYP001186561258,unknown,104
MGYP006076176819,unknown,104
MGYP001421928254,unknown,104
MGYP006284913959,unknown,105
MGYP002726722074,unknown,106
MGYP001417356793,unknown,107
MGYP005987103641,unknown,108
MGYP004525888521,unknown,109
MGYP001445061478,unknown,110
MGYP003582742593,unknown,110
MGYP001119043798,unknown,110
MGYP004469300885,unknown,111
MGYP001160542010,unknown,110
MGYP000990005423,unknown,112
MGYP000769122307,unknown,112
MGYP001294810394,unknown,113
MGYP002597373997,unknown,114
MGYP000145274938,unknown,114
MGYP000749009802,unknown,114
MGYP000676288247,unknown,114
MGYP001006759172,unknown,114
MGYP002401112583,unknown,114
MGYP003536674601,unknown,115
MGYP000181543751,unknown,115
MGYP002732829154,unknown,115
MGYP003020070114,unknown,116
MGYP001450336420,unknown,117
MGYP001318172536,unknown,118
MGYP000998941585,unknown,119
MGYP000944669756,unknown,119
MGYP000216060532,unknown,119
MGYP003591982433,unknown,119
MGYP003811266507,unknown,119
MGYP003458200041,unknown,119
MGYP000727245854,unknown,119
MGYP000547374928,unknown,119
MGYP000856684225,unknown,119
MGYP001618369058,unknown,120
MGYP000925034817,unknown,119
MGYP000456641455,unknown,121
MGYP004464917447,unknown,122
MGYP003451882717,unknown,119
MGYP005984866981,unknown,123
MGYP000078207118,unknown,124
MGYP001179517451,unknown,119
MGYP001292630839,unknown,119
MGYP002641177686,unknown,125
MGYP000400089916,unknown,126
MGYP000351756259,unknown,126
MGYP001110413159,unknown,126
MGYP004636737401,unknown,126
MGYP000314551705,unknown,127
MGYP006360660723,unknown,127
MGYP000264156894,unknown,127
MGYP002754822744,unknown,127
MGYP000838609913,unknown,128
MGYP002519479046,unknown,129
MGYP003297079129,unknown,130
MGYP006371753831,unknown,131
MGYP001566138465,unknown,131
MGYP001138385915,unknown,132
MGYP003227073077,unknown,133
MGYP001379122623,unknown,134
MGYP003503643053,unknown,135
MGYP002834496230,unknown,136
MGYP004435813875,unknown,137
MGYP000137520671,unknown,138
MGYP000899399593,unknown,139
MGYP000622693364,unknown,139
MGYP003083521634,unknown,139
MGYP000132178313,unknown,140
MGYP000078320021,unknown,140
MGYP005835519519,unknown,28
MGYP000355350673,unknown,28
MGYP000810960565,unknown,28
MGYP001625513938,unknown,28
MGYP000664024439,unknown,28
MGYP004542187899,unknown,28
MGYP002773984590,unknown,28
MGYP003271284602,unknown,28
MGYP003213785063,unknown,28
MGYP000781125742,unknown,28
MGYP000793778038,unknown,28
MGYP000828032861,unknown,28
MGYP001535076276,unknown,141
MGYP000475571677,unknown,28
MGYP001083512405,unknown,142
MGYP000019185430,unknown,141
MGYP001005692531,unknown,144
MGYP001780726567,unknown,145
MGYP000472681304,unknown,145
MGYP000800986895,unknown,145
MGYP006257872751,unknown,146
MGYP001395336724,unknown,147
MGYP005802204233,unknown,148
MGYP003881458555,unknown,149
MGYP001617167190,unknown,150
MGYP001828490480,unknown,151
MGYP001349444111,unknown,152
MGYP005729911063,unknown,153
MGYP000768066056,unknown,154
MGYP003214512783,unknown,154
MGYP005889966093,unknown,155
MGYP001785917696,unknown,156
MGYP001522811368,unknown,156
MGYP002282327054,unknown,156
MGYP004669281067,unknown,156
MGYP005609732943,unknown,157
MGYP003519641510,unknown,158
MGYP001529254814,unknown,158
MGYP005977427409,unknown,158
MGYP006343391213,unknown,158
MGYP003140969908,unknown,158
MGYP001483435831,unknown,158
MGYP003389076345,unknown,158
MGYP000632897209,unknown,158
MGYP000838300531,unknown,158
MGYP000590400353,unknown,141
MGYP004646412327,unknown,141
MGYP004597713835,unknown,141
MGYP000411885167,unknown,141
MGYP002596084419,unknown,141
MGYP000757867350,unknown,141
MGYP002585578476,unknown,141
MGYP000178852111,unknown,141
MGYP002230348848,unknown,141
MGYP003288708258,unknown,141
MGYP000718045561,unknown,141
MGYP002298052746,unknown,141
MGYP000893922707,unknown,141
MGYP004657630737,unknown,141
MGYP000560335725,unknown,141
MGYP002770660688,unknown,141
MGYP003056818173,unknown,141
MGYP002225496675,unknown,141
MGYP003372142957,unknown,141
MGYP000209894141,unknown,141
MGYP002658373504,unknown,141
MGYP001658011065,unknown,141
MGYP002310890963,unknown,141
MGYP000254552526,unknown,141
MGYP001071654292,unknown,141
MGYP004570455549,unknown,159
MGYP000330990323,unknown,28
MGYP002706045347,unknown,28
MGYP000970211444,unknown,160
MGYP003102037762,unknown,28
MGYP004707627243,unknown,33
MGYP000478590180,unknown,161
MGYP002252231435,unknown,28
MGYP000749535123,unknown,162
MGYP000905075317,unknown,162
MGYP005772165377,unknown,163
MGYP005978092867,unknown,163
MGYP004609958983,unknown,164
MGYP001341134433,unknown,165
MGYP003908363281,unknown,166
MGYP001417660729,unknown,167
MGYP003345773097,unknown,168
MGYP005710135215,unknown,169
MGYP003244483357,unknown,170
MGYP000038990992,unknown,170
MGYP000025979910,unknown,170
MGYP001768264418,unknown,170
MGYP003995185681,unknown,170
MGYP000883896395,unknown,170
MGYP001386770337,unknown,171
MGYP001513510439,unknown,172
MGYP000010246689,unknown,173
MGYP000983172282,unknown,173
MGYP000231812413,unknown,174
MGYP001222641530,unknown,175
MGYP001210735684,unknown,175
MGYP000182445994,unknown,176
MGYP003300620333,unknown,177
MGYP000946023591,unknown,178
MGYP000928045683,unknown,179
MGYP005972352007,unknown,179
MGYP001317524930,unknown,179
MGYP000271963224,unknown,179
MGYP001135784652,unknown,179
MGYP000401103812,unknown,180
MGYP002717664261,unknown,180
MGYP000155938620,unknown,180
MGYP000325075467,unknown,180
MGYP000541164625,unknown,180
MGYP001615588479,unknown,180
MGYP000053448402,unknown,180
MGYP001150037469,unknown,180
MGYP001193205089,unknown,180
MGYP001210715392,unknown,180
MGYP001244250113,unknown,180
MGYP006149680269,unknown,180
MGYP002714203894,unknown,180
MGYP000278216538,unknown,180
MGYP001481708372,unknown,180
MGYP000705588737,unknown,180
MGYP002525559165,unknown,180
MGYP000531502590,unknown,180
MGYP006289415471,unknown,180
MGYP006101461757,unknown,180
MGYP001223482791,unknown,180
MGYP000860312080,unknown,181
MGYP000761599025,unknown,182
MGYP000156936801,unknown,183
MGYP001791235331,unknown,184
MGYP000901738877,unknown,185
MGYP002633385413,unknown,186
MGYP003391901834,unknown,187
MGYP001003178297,unknown,186
MGYP003482899503,unknown,188
MGYP003428973586,unknown,189
MGYP003348868318,unknown,190
MGYP000795801609,unknown,191
MGYP001060471956,unknown,191
MGYP000587996094,unknown,191
MGYP000611794321,unknown,191
MGYP006107232941,unknown,191
MGYP002778681986,unknown,191
MGYP005624907601,unknown,191
MGYP001131683462,unknown,191
MGYP000193317918,unknown,191
MGYP006368307387,unknown,191
MGYP006101799017,unknown,191
MGYP000974946747,unknown,192
MGYP001631269402,unknown,193
MGYP000156844038,unknown,193
MGYP004445221759,unknown,193
MGYP000839876841,unknown,194
MGYP000978674026,unknown,195
MGYP000580849512,unknown,196
MGYP001247254234,unknown,197
MGYP004686691357,unknown,197
MGYP001331709931,unknown,197
MGYP005759868741,unknown,197
MGYP001560043054,unknown,197
MGYP000921326168,unknown,197
MGYP003387195167,unknown,197
MGYP001120840398,unknown,197
MGYP001408343396,unknown,197
MGYP001498334298,unknown,197
MGYP001547889901,unknown,197
MGYP004567555473,unknown,197
MGYP005704881709,unknown,197
MGYP000014671972,unknown,197
MGYP003443510460,unknown,198
MGYP002799568475,unknown,199
MGYP005721232265,unknown,200
MGYP001446799866,unknown,199
MGYP002531693958,unknown,201
MGYP001038438269,unknown,202
MGYP000143098929,unknown,191
MGYP000161198749,unknown,191
MGYP003663202131,unknown,191
MGYP002642302360,unknown,191
MGYP000284599007,unknown,191
MGYP000597363523,unknown,191
MGYP001775132489,unknown,191
MGYP001530569284,unknown,191
MGYP001269575737,unknown,191
MGYP003461107273,unknown,191
MGYP001162731966,unknown,191
MGYP002770126413,unknown,191
MGYP003031098883,unknown,191
MGYP005729093071,unknown,191
MGYP001376717819,unknown,191
MGYP000488705407,unknown,191
MGYP001418103223,unknown,191
MGYP003571907727,unknown,191
MGYP000610352312,unknown,191
MGYP005731242487,unknown,191
MGYP000348116747,unknown,191
MGYP006273162517,unknown,191
MGYP000630876778,unknown,191
MGYP000672403495,unknown,191
MGYP001585074678,unknown,191
MGYP001521881280,unknown,191
MGYP003324451627,unknown,191
MGYP002839844036,unknown,191
MGYP002724153505,unknown,191
MGYP005626447323,unknown,191
MGYP001791625403,unknown,191
MGYP001176280878,unknown,191
MGYP001263505863,unknown,191
MGYP001286999346,unknown,191
MGYP002524978229,unknown,191
MGYP005846307909,unknown,191
MGYP006303295387,unknown,191
MGYP001311004104,unknown,191
MGYP003340199898,unknown,191
MGYP003301187397,unknown,203
MGYP000312480379,unknown,204
MGYP002552464713,unknown,204
MGYP000964514929,unknown,204
MGYP004632584737,unknown,204
MGYP003377606373,unknown,204
MGYP000688878896,unknown,205
MGYP000137173053,unknown,206
MGYP002574048817,unknown,207
MGYP002686129025,unknown,207
MGYP000618477432,unknown,208
MGYP002611822732,unknown,28
MGYP002082439762,unknown,28
MGYP000833733883,unknown,28
MGYP001087628112,unknown,28
MGYP001016106376,unknown,28
MGYP002511623323,unknown,141
MGYP000874539173,unknown,141
MGYP000752547017,unknown,141
MGYP002596842972,unknown,28
MGYP002731345424,unknown,28
MGYP002537379531,unknown,28
MGYP003387547266,unknown,209
MGYP006419270257,unknown,210
MGYP001270370989,unknown,211
MGYP001177758743,unknown,212
MGYP002968179266,unknown,28
MGYP000824624612,unknown,28
MGYP000330813549,unknown,213
MGYP000836895519,unknown,160
MGYP002350450372,unknown,214
MGYP001740796319,unknown,214
MGYP003988425553,unknown,215
MGYP000954542637,unknown,216
MGYP000807469581,unknown,217
MGYP000809888945,unknown,218
MGYP000910980297,unknown,219
MGYP000851686428,unknown,219
MGYP001394661034,unknown,220
MGYP000253081589,unknown,221
MGYP001552591302,unknown,222
MGYP000880115988,unknown,222
MGYP003724351767,unknown,223
MGYP006200615037,unknown,224
MGYP001129680778,unknown,224
MGYP004618424099,unknown,224
MGYP000953305392,unknown,224
MGYP001320567612,unknown,224
MGYP000883185838,unknown,225
MGYP005876831019,unknown,225
MGYP003291677187,unknown,226
MGYP004512320345,unknown,227
MGYP003291114301,unknown,228
MGYP001534287311,unknown,229
MGYP003545509094,unknown,230
MGYP004582782689,unknown,231
MGYP002139500462,unknown,232
MGYP001328437531,unknown,233
MGYP003174094460,unknown,233
MGYP002687688742,unknown,233
MGYP002507825863,unknown,233
MGYP000193514881,unknown,233
MGYP001806810303,unknown,234
MGYP001471813176,unknown,235
MGYP005896096909,unknown,236
MGYP000476796631,unknown,237
MGYP002237682679,root:Host-associated:Human:Digestive system:Large intestine:Fecal,237
MGYP001089939610,unknown,237
MGYP003315071942,unknown,237
MGYP001754783978,unknown,238
MGYP000463736744,unknown,239
MGYP006141419235,unknown,240
MGYP005681213765,unknown,241
MGYP001737702050,unknown,242
MGYP003535687729,unknown,243
MGYP001539091688,unknown,243
MGYP005915192537,unknown,243
MGYP000869213589,unknown,243
MGYP000283805969,unknown,243
MGYP000812270101,unknown,244
MGYP002654185560,unknown,245
MGYP003508045281,unknown,246
MGYP003396588189,unknown,247
MGYP000923644880,unknown,248
MGYP005647131285,unknown,249
MGYP001203166406,unknown,250
MGYP002234561537,unknown,251
MGYP003580309123,unknown,252
MGYP001508510484,unknown,253
MGYP002770358170,unknown,254
MGYP000219688201,unknown,254
MGYP004645269745,unknown,254
MGYP000933431462,unknown,254
MGYP004537690657,unknown,254
MGYP001738207211,unknown,254
MGYP003517548401,unknown,255
MGYP002538197148,unknown,256
MGYP003507002226,unknown,257
MGYP000784517406,unknown,71
MGYP002531654788,unknown,71
MGYP003523785637,unknown,71
MGYP001526435723,unknown,71
MGYP000985939930,unknown,71
MGYP003183494038,unknown,71
MGYP001328653666,unknown,71
MGYP003523079715,unknown,71
MGYP001660355484,unknown,258
MGYP006196420859,unknown,259
MGYP006088082635,unknown,259
MGYP003296357925,unknown,260
MGYP001403540884,unknown,260
MGYP003379204819,unknown,261
MGYP002328020725,unknown,262
MGYP002611272774,unknown,262
MGYP000796236619,unknown,262
MGYP000775673009,unknown,263
MGYP000229914253,root:Mixed,264
MGYP003442465521,unknown,265
MGYP000561582608,unknown,266
MGYP001577327745,unknown,267
MGYP003138545451,unknown,268
MGYP003487317866,unknown,268
MGYP000784626871,unknown,268
MGYP000836988914,unknown,268
MGYP003339415917,unknown,268
MGYP000113958037,unknown,268
MGYP002648568111,unknown,268
MGYP000868568607,unknown,268
MGYP005782129821,unknown,268
MGYP000616738743,unknown,268
MGYP003705746593,unknown,268
MGYP003515865130,unknown,269
MGYP002630367549,unknown,269
MGYP001570679692,unknown,269
MGYP002772022589,unknown,269
MGYP001806035168,unknown,269
MGYP003277293046,unknown,270
MGYP001568221130,unknown,271
MGYP000926437603,unknown,270
MGYP004572279641,unknown,270
MGYP000029733398,unknown,270
MGYP003514634149,unknown,272
MGYP004443003727,unknown,270
MGYP001183404847,unknown,269
MGYP003506883539,unknown,273
MGYP000294678755,unknown,273
MGYP000611132339,unknown,274
MGYP006379438935,unknown,275
MGYP000920704926,unknown,276
MGYP000835063878,unknown,277
MGYP000930708726,unknown,278
MGYP000060618409,unknown,279
MGYP003598207722,unknown,280
MGYP000532575111,unknown,281
MGYP003235502759,unknown,281
MGYP005608052237,unknown,282
MGYP000282538243,unknown,283
MGYP003457418447,unknown,284
MGYP005716246239,unknown,285
MGYP002768136879,unknown,286
MGYP000723930061,unknown,286
MGYP000222901635,unknown,287
MGYP000811870025,unknown,288
MGYP000915222423,unknown,289
MGYP001395176633,unknown,290
MGYP003324880100,unknown,291
MGYP006291318131,unknown,292
MGYP004693747901,unknown,293
MGYP002741768539,unknown,293
MGYP001561122387,unknown,293
MGYP001522978297,unknown,293
MGYP000756974919,unknown,293
MGYP001237183343,unknown,293
MGYP001101118417,unknown,293
MGYP000122170629,unknown,294
MGYP003637556321,unknown,295
MGYP002759933173,unknown,296
MGYP000840186453,unknown,297
MGYP002628502038,unknown,298
MGYP001587821109,unknown,299
MGYP001125426179,unknown,300
MGYP003700630643,unknown,301
MGYP001460279633,unknown,301
MGYP005731246509,unknown,302
MGYP002793861695,unknown,303
MGYP001136822392,unknown,304
MGYP002707176062,unknown,305
MGYP003366750658,unknown,28
MGYP000831599676,unknown,28
MGYP004587730217,unknown,28
MGYP002621126900,unknown,28
MGYP002968172819,unknown,28
MGYP000233593688,unknown,28
MGYP000572664961,unknown,160
MGYP001725544198,unknown,160
MGYP000785408389,unknown,160
MGYP004508035825,unknown,160
MGYP002799432701,unknown,28
MGYP002679090880,unknown,306
MGYP003242461394,unknown,306
MGYP002751051475,unknown,306
MGYP003232619700,unknown,306
MGYP003266323214,unknown,307
MGYP003250556480,unknown,308
MGYP000094007252,unknown,309
MGYP001328026959,unknown,309
MGYP003419151902,unknown,309
MGYP003574201834,unknown,309
MGYP003279562733,unknown,310
MGYP000051960425,unknown,311
MGYP001331904115,unknown,312
MGYP001490258829,unknown,312
MGYP001297131923,unknown,312
MGYP002625681067,unknown,312
MGYP005702227903,unknown,312
MGYP002515431403,unknown,312
MGYP001200311630,unknown,312
MGYP003560731576,unknown,313
MGYP004618143819,unknown,313
MGYP000087414822,unknown,313
MGYP001128528187,unknown,314
MGYP001114429382,unknown,314
MGYP000751996329,unknown,315
MGYP000864938021,unknown,316
MGYP006207229697,unknown,35
MGYP001980572654,unknown,317
MGYP000645926496,unknown,318
MGYP001595186302,unknown,319
MGYP002626856716,unknown,320
MGYP001431192940,unknown,320
MGYP001518004433,unknown,320
MGYP003492062033,unknown,321
MGYP001149100337,unknown,322
MGYP000216101007,unknown,322
MGYP006075036603,unknown,323
MGYP003214659677,unknown,324
MGYP005755094693,unknown,325
MGYP001036256676,unknown,325
MGYP003953827887,unknown,326
MGYP000234765099,unknown,327
MGYP000883462070,unknown,328
MGYP006334276593,unknown,329
MGYP003523856450,unknown,330
MGYP000923337287,unknown,330
MGYP000605288413,unknown,331
MGYP001251330174,unknown,332
MGYP004492386179,unknown,333
MGYP000918300022,unknown,333
MGYP002729232945,unknown,333
MGYP000290465231,unknown,333
MGYP001132058143,unknown,334
MGYP004635649611,unknown,335
MGYP002039153848,unknown,336
MGYP003592365729,unknown,337
MGYP000114032454,unknown,338
MGYP001463263974,unknown,338
MGYP001199069707,unknown,338
MGYP005993570177,unknown,339
MGYP003345626467,unknown,339
MGYP001137512956,unknown,339
MGYP001336002727,unknown,339
MGYP002636082949,unknown,339
MGYP000266133040,root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,339
MGYP006101001007,unknown,339
MGYP003983509561,unknown,339
MGYP000027395923,unknown,339
MGYP000991817796,unknown,339
MGYP003597916144,unknown,339
MGYP000146071438,unknown,340
MGYP001172903962,unknown,339
MGYP000954616994,unknown,339
MGYP003967768551,unknown,341
MGYP000946633414,unknown,339
MGYP000328122442,unknown,342
MGYP004534539359,unknown,23
MGYP000189405289,unknown,23
MGYP003177365925,unknown,23
MGYP000643502233,unknown,23
MGYP000451863023,unknown,23
MGYP000221212583,unknown,23
MGYP000710128384,unknown,23
MGYP002562610927,unknown,23
MGYP001545293210,unknown,23
MGYP002765870538,unknown,23
MGYP002578656407,unknown,23
MGYP000110883240,unknown,23
MGYP000665423298,unknown,23
MGYP001022066307,unknown,23
MGYP000010261998,unknown,23
MGYP000017655447,unknown,23
MGYP001660991710,unknown,23
MGYP000826898902,unknown,23
MGYP001465987426,unknown,23
MGYP003152352989,unknown,23
MGYP000673698234,unknown,23
MGYP001818438888,unknown,23
MGYP002681906802,unknown,343
MGYP000511465601,unknown,344
MGYP000741913665,unknown,345
MGYP002521951880,unknown,345
MGYP001081648088,unknown,345
MGYP000663780051,unknown,345
MGYP000112807358,unknown,345
MGYP000836237301,unknown,345
MGYP003213122128,unknown,345
MGYP002407697382,unknown,345
MGYP000531196286,unknown,346
MGYP002541559251,unknown,347
MGYP002613113121,unknown,348
MGYP000656361253,unknown,349
MGYP000800526487,unknown,350
MGYP003157687676,unknown,350
MGYP004454099887,unknown,351
MGYP000792358098,unknown,352
MGYP000692866702,unknown,352
MGYP000274802634,unknown,353
MGYP001210915688,unknown,354
MGYP000395554186,unknown,355
MGYP002101764750,unknown,355
MGYP006216864307,unknown,356
MGYP000871781653,unknown,357
MGYP001529067580,unknown,358
MGYP001486769874,unknown,358
MGYP003341780034,unknown,359
MGYP003445598998,unknown,360
MGYP001820794460,unknown,361
MGYP001353785270,unknown,362
MGYP002538761174,unknown,363
MGYP000970721355,unknown,363
MGYP003184575872,unknown,363
MGYP003169699127,unknown,363
MGYP000145787222,unknown,363
MGYP006118102403,unknown,363
MGYP006450025531,unknown,363
MGYP000128799416,unknown,363
MGYP001668249869,unknown,363
MGYP001174358649,unknown,119
MGYP001615929198,unknown,119
MGYP003971066511,unknown,119
MGYP005958181283,unknown,364
MGYP001524007930,unknown,365
MGYP001104673581,unknown,365
MGYP002757174183,unknown,365
MGYP000959485251,unknown,365
MGYP000045007596,unknown,365
MGYP002681096466,unknown,365
MGYP001656369616,unknown,365
MGYP000662008966,unknown,365
MGYP001636477825,unknown,366
MGYP002137903563,unknown,366
MGYP003286902623,unknown,366
MGYP006345522471,unknown,366
MGYP003472428051,unknown,367
