protein,biome,cluster
MGYP001091456255,unknown,58
MGYP002640910202,unknown,59
MGYP002269427873,unknown,60
MGYP001178433315,unknown,61
MGYP006170796735,unknown,62
MGYP001174477290,unknown,62
MGYP003145455891,unknown,62
MGYP003307048550,unknown,62
MGYP002726920623,unknown,62
MGYP001055309805,unknown,62
MGYP000146026623,unknown,62
MGYP000642644949,unknown,62
MGYP001173560867,unknown,62
MGYP001549391284,unknown,62
MGYP006342360583,unknown,62
MGYP001119103216,unknown,63
MGYP001421928254,unknown,63
MGYP006100183105,unknown,63
MGYP001547555712,unknown,63
MGYP003300567938,unknown,63
MGYP001186561258,unknown,63
MGYP000950215112,unknown,64
MGYP003298065848,unknown,65
MGYP004710676291,unknown,65
MGYP001220831791,unknown,66
MGYP001217714826,unknown,66
MGYP000090133413,unknown,66
MGYP005948582125,unknown,66
MGYP000986935809,unknown,66
MGYP003438189322,unknown,66
MGYP000793780469,unknown,66
MGYP002534198485,unknown,66
MGYP001543412478,unknown,67
MGYP000966903259,unknown,67
MGYP003440059338,unknown,67
MGYP001548744891,unknown,67
MGYP003739747697,unknown,67
MGYP000126921376,unknown,68
MGYP000824147762,unknown,69
MGYP000768890060,unknown,69
MGYP004443003727,unknown,70
MGYP004572279641,unknown,70
MGYP000926437603,unknown,70
MGYP000029733398,unknown,70
MGYP003277293046,unknown,70
MGYP001568221130,unknown,71
MGYP003514634149,unknown,72
MGYP001570679692,unknown,73
MGYP003515865130,unknown,73
MGYP006162846299,unknown,74
MGYP003621630470,unknown,74
MGYP003621050628,unknown,74
MGYP006001408241,unknown,75
MGYP003312201899,unknown,75
MGYP001825958463,unknown,76
MGYP000754346051,unknown,77
MGYP000555609018,unknown,77
MGYP004733077309,unknown,77
MGYP000870233335,unknown,77
MGYP006353950741,unknown,77
MGYP001367363925,unknown,77
MGYP001183837644,unknown,77
MGYP000935040600,unknown,77
MGYP005953084367,unknown,78
MGYP001818533297,unknown,79
MGYP003157640579,unknown,79
MGYP002310971444,unknown,79
MGYP003454458500,unknown,79
MGYP001296269880,unknown,80
MGYP000350756251,unknown,80
MGYP005739618971,unknown,80
MGYP000128064330,unknown,80
MGYP001829033058,unknown,81
MGYP000059541994,unknown,82
MGYP001141876484,unknown,82
MGYP001271055512,unknown,83
MGYP003487514756,unknown,84
MGYP000935778425,unknown,85
MGYP002706747699,unknown,62
MGYP003291779187,unknown,62
MGYP002588768591,unknown,62
MGYP001453636597,unknown,62
MGYP000129780232,unknown,62
MGYP001474334160,unknown,62
MGYP000795566773,unknown,62
MGYP003472193229,unknown,86
MGYP003524139429,unknown,87
MGYP003207041047,unknown,87
MGYP001468070352,unknown,87
MGYP004695598557,unknown,87
MGYP003167262149,unknown,88
MGYP000841600900,unknown,89
MGYP005925080009,unknown,91
MGYP003173350953,unknown,91
MGYP000995422864,unknown,91
MGYP000955362303,unknown,91
MGYP002572524742,unknown,91
MGYP000667511309,unknown,91
MGYP001747493717,unknown,92
MGYP000853641213,unknown,92
MGYP006255575531,unknown,93
MGYP002518962648,unknown,94
MGYP003372115062,unknown,93
MGYP000672403495,unknown,94
MGYP003031098883,unknown,94
MGYP002770126413,unknown,94
MGYP000151262412,unknown,94
MGYP000627045059,unknown,94
MGYP002724153505,unknown,94
MGYP000948339928,unknown,94
MGYP003859855505,unknown,94
MGYP001521881280,unknown,94
MGYP002839844036,unknown,94
MGYP000348116747,unknown,94
MGYP001585074678,unknown,94
MGYP000161198749,unknown,94
MGYP001775132489,unknown,94
MGYP000610352312,unknown,94
MGYP001311004104,unknown,94
MGYP003340199898,unknown,94
MGYP005729093071,unknown,94
MGYP000284599007,unknown,94
MGYP001162731966,unknown,94
MGYP000488705407,unknown,94
MGYP003461107273,unknown,94
MGYP001286999346,unknown,94
MGYP001376717819,unknown,94
MGYP006303295387,unknown,94
MGYP000597363523,unknown,94
MGYP001791625403,unknown,94
MGYP005731242487,unknown,94
MGYP000630876778,unknown,94
MGYP003571907727,unknown,94
MGYP003324451627,unknown,94
MGYP006273162517,unknown,94
MGYP002642302360,unknown,94
MGYP001418103223,unknown,94
MGYP003663202131,unknown,94
MGYP001176280878,unknown,94
MGYP001530569284,unknown,94
MGYP002524978229,unknown,94
MGYP001269575737,unknown,94
MGYP005626447323,unknown,94
MGYP005839044079,unknown,94
MGYP001290801360,unknown,94
MGYP005846307909,unknown,94
MGYP000143098929,unknown,94
MGYP001263505863,unknown,94
MGYP006394322917,unknown,95
MGYP005866771585,unknown,95
MGYP001009544190,unknown,95
MGYP003584761896,unknown,95
MGYP000345889245,unknown,96
MGYP000986284329,unknown,97
MGYP000136311403,unknown,98
MGYP001570647477,unknown,99
MGYP004669281067,unknown,100
MGYP002282327054,unknown,100
MGYP001522811368,unknown,100
MGYP001785917696,unknown,100
MGYP002798352820,unknown,101
MGYP000225648903,unknown,102
MGYP003585444218,unknown,103
MGYP002513507840,unknown,103
MGYP003916625009,unknown,103
MGYP002535725461,unknown,104
MGYP003264972759,unknown,105
MGYP000738742725,unknown,105
MGYP000199464559,unknown,104
MGYP002139762296,unknown,106
MGYP003416317020,unknown,107
MGYP002182928096,unknown,79
MGYP001068223063,unknown,79
MGYP001174598798,unknown,79
MGYP001595852563,unknown,79
MGYP002713204922,unknown,79
MGYP006175463267,unknown,79
MGYP006216950933,unknown,79
MGYP001783329349,unknown,108
MGYP003236434090,unknown,108
MGYP000964335115,unknown,110
MGYP000262049830,unknown,111
MGYP004692704573,unknown,111
MGYP002512254401,unknown,112
MGYP005758663771,unknown,112
MGYP002571526475,unknown,112
MGYP002587273299,unknown,112
MGYP000645835333,unknown,112
MGYP000089953553,unknown,112
MGYP003374603834,unknown,112
MGYP001512710639,unknown,112
MGYP001002763158,unknown,112
MGYP003166347117,unknown,112
MGYP001594424730,unknown,112
MGYP001329288691,unknown,112
MGYP000433431061,unknown,113
MGYP001496141859,unknown,114
MGYP001473580459,unknown,115
MGYP000921238995,unknown,116
MGYP000906628423,unknown,117
MGYP000258393462,unknown,117
MGYP001597413679,unknown,118
MGYP005730952229,unknown,119
MGYP006258323393,unknown,120
MGYP003968848259,unknown,121
MGYP002616095871,unknown,122
MGYP001102811518,unknown,122
MGYP000775536680,unknown,122
MGYP000030060663,unknown,123
MGYP000823844477,unknown,123
MGYP000391789199,unknown,124
MGYP003193853681,unknown,125
MGYP002544317231,unknown,125
MGYP000462366504,unknown,125
MGYP005871068323,unknown,126
MGYP001278573178,unknown,127
MGYP001033459955,unknown,128
MGYP000138417152,unknown,129
MGYP003449346189,unknown,129
MGYP001088449562,unknown,129
MGYP006145434469,unknown,130
MGYP001548001115,unknown,131
MGYP000131235544,unknown,132
MGYP003368452250,unknown,133
MGYP002723221050,unknown,134
MGYP001199069707,unknown,135
MGYP001394180419,unknown,135
MGYP001463263974,unknown,135
MGYP000978871724,unknown,135
MGYP001245417104,unknown,136
MGYP000520278884,unknown,137
MGYP000808183660,unknown,138
MGYP003851390369,unknown,139
MGYP001284294473,unknown,140
MGYP000560680742,unknown,141
MGYP002834496230,unknown,142
MGYP001379122623,unknown,143
MGYP001327140997,unknown,144
MGYP001366208089,unknown,145
MGYP003196912560,unknown,146
MGYP001518609636,unknown,146
MGYP003510910288,unknown,146
MGYP002840813202,unknown,147
MGYP001572271935,unknown,148
MGYP001180533028,unknown,149
MGYP001194114031,unknown,149
MGYP001292258309,unknown,149
MGYP001400709146,unknown,149
MGYP001237445415,unknown,149
MGYP003466279391,unknown,150
MGYP003381472791,unknown,151
MGYP005983859037,unknown,152
MGYP000874894746,unknown,153
MGYP006115770789,unknown,154
MGYP000850611519,unknown,155
MGYP005760342571,unknown,156
MGYP004707627243,unknown,156
MGYP000180421457,unknown,156
MGYP002097459013,unknown,245
MGYP004527551593,unknown,158
MGYP004537990815,unknown,245
MGYP000970211444,unknown,159
MGYP002624607216,unknown,160
MGYP000242428424,unknown,158
MGYP000107991404,unknown,158
MGYP004537178793,unknown,245
MGYP000432918253,unknown,245
MGYP001725544198,unknown,159
MGYP000454781986,unknown,245
MGYP002082439762,unknown,245
MGYP002732154977,unknown,161
MGYP000954542637,unknown,162
MGYP002286473828,unknown,163
MGYP000835720280,unknown,164
MGYP003438806512,unknown,165
MGYP001043585438,unknown,165
MGYP006388681693,unknown,165
MGYP003598867756,unknown,165
MGYP001019143354,unknown,165
MGYP000341654748,unknown,165
MGYP001183306196,unknown,166
MGYP003118811596,unknown,167
MGYP001448486058,unknown,167
MGYP001260145557,unknown,168
MGYP005990203873,unknown,169
MGYP006287904319,unknown,169
MGYP002861253880,unknown,170
MGYP002819516476,unknown,171
MGYP001228547408,unknown,172
MGYP002835808681,unknown,173
MGYP000231641495,unknown,168
MGYP006272749315,unknown,174
MGYP001451863261,unknown,169
MGYP001420877106,unknown,172
MGYP001327800651,unknown,175
MGYP001825089010,unknown,176
MGYP002574632829,unknown,177
MGYP004511668415,unknown,177
MGYP004473518205,unknown,177
MGYP000418507406,unknown,177
MGYP002558002436,unknown,177
MGYP002656815642,unknown,178
MGYP006341561415,unknown,178
MGYP000872799131,unknown,178
MGYP003340396382,unknown,178
MGYP000075446490,unknown,178
MGYP001408450232,unknown,178
MGYP000787376240,unknown,178
MGYP000871233085,unknown,178
MGYP000886455775,unknown,178
MGYP001262742670,unknown,178
MGYP002563048889,unknown,178
MGYP002783900045,unknown,179
MGYP000556566385,unknown,180
MGYP001312408776,unknown,180
MGYP002260195064,unknown,180
MGYP003382869218,unknown,181
MGYP004632584737,unknown,182
MGYP003377606373,unknown,182
MGYP002552464713,unknown,182
MGYP000964514929,unknown,182
MGYP000137173053,unknown,183
MGYP000312480379,unknown,182
MGYP000274802634,unknown,184
MGYP005936312663,unknown,185
MGYP005768152381,unknown,185
MGYP002563088883,unknown,185
MGYP002686129025,unknown,186
MGYP002530240206,unknown,185
MGYP000792358098,unknown,187
MGYP000634844231,unknown,188
MGYP001432914334,unknown,189
MGYP000855600126,unknown,190
MGYP000377078328,unknown,191
MGYP005904515745,unknown,192
MGYP001127214015,unknown,193
MGYP003581649393,unknown,194
MGYP002827433615,unknown,195
MGYP003615183435,unknown,196
MGYP001039411298,unknown,196
MGYP001589079941,unknown,197
MGYP000945017864,unknown,198
MGYP003272659951,unknown,199
MGYP001765731754,unknown,200
MGYP001367882221,unknown,200
MGYP000380317352,unknown,200
MGYP001439687092,unknown,200
MGYP002738686524,unknown,200
MGYP003346395418,unknown,200
MGYP001184159639,unknown,200
MGYP001454683999,unknown,200
MGYP000669955449,unknown,62
MGYP001379687153,unknown,201
MGYP000423407787,unknown,202
MGYP000690875605,unknown,203
MGYP006296510095,unknown,204
MGYP001228451111,unknown,205
MGYP002596866649,unknown,206
MGYP003021813834,unknown,206
MGYP003341106546,unknown,207
MGYP001464252905,unknown,207
MGYP001596278600,unknown,208
MGYP004729416753,unknown,209
MGYP002752911214,unknown,209
MGYP001457775791,unknown,210
MGYP001411890843,unknown,211
MGYP001199276631,unknown,212
MGYP000593997352,unknown,213
MGYP001557659461,unknown,214
MGYP000094007635,unknown,215
MGYP003350594124,unknown,216
MGYP000415633168,unknown,217
MGYP005671574291,unknown,217
MGYP001301863165,unknown,218
MGYP000869497408,unknown,219
MGYP000488109634,unknown,219
MGYP000885189720,unknown,219
MGYP001739114898,unknown,219
MGYP003614279793,unknown,219
MGYP003169436867,unknown,219
MGYP000585491041,unknown,219
MGYP000674502535,unknown,220
MGYP000929955119,unknown,219
MGYP000445670218,unknown,221
MGYP003446329585,unknown,221
MGYP001153782460,unknown,221
MGYP004594186441,unknown,222
MGYP003254853826,unknown,221
MGYP001549957677,unknown,221
MGYP002588760646,unknown,221
MGYP002631422652,unknown,223
MGYP003869627569,unknown,224
MGYP002814624641,unknown,224
MGYP003294127573,unknown,225
MGYP005735725427,unknown,226
MGYP001472481660,unknown,227
MGYP002101764750,unknown,228
MGYP000395554186,unknown,228
MGYP001387858811,unknown,229
MGYP002782361204,unknown,230
MGYP002784592950,unknown,230
MGYP003276857324,unknown,231
MGYP000507780415,unknown,231
MGYP001143894074,unknown,231
MGYP000236361358,unknown,231
MGYP001108563298,unknown,231
MGYP001343216280,unknown,231
MGYP000300349244,unknown,231
MGYP002857690279,unknown,231
MGYP000339933452,unknown,231
MGYP002519772351,unknown,231
MGYP000086930402,unknown,231
MGYP003082030859,unknown,231
MGYP002978540473,unknown,231
MGYP002407697382,unknown,232
MGYP000836237301,unknown,232
MGYP003213122128,unknown,232
MGYP000741913665,unknown,232
MGYP002521951880,unknown,232
MGYP000663780051,unknown,232
MGYP001081648088,unknown,232
MGYP000112807358,unknown,232
MGYP002541559251,unknown,233
MGYP002855351919,unknown,26
MGYP002554737502,unknown,26
MGYP001001142699,unknown,26
MGYP001691765617,unknown,26
MGYP001333193178,unknown,234
MGYP000813927528,unknown,235
MGYP003433397450,unknown,236
MGYP001005821131,unknown,237
MGYP000124450894,unknown,238
MGYP005909182671,unknown,239
MGYP001036984502,unknown,240
MGYP004589368955,unknown,241
MGYP000543077711,unknown,241
MGYP002290661055,unknown,241
MGYP003199584628,unknown,242
MGYP002431544968,unknown,242
MGYP000178951410,unknown,242
MGYP002765735307,unknown,242
MGYP003232619700,unknown,242
MGYP002587508304,unknown,242
MGYP000958813304,unknown,242
MGYP003252769843,unknown,242
MGYP004582244055,unknown,242
MGYP002599272175,unknown,242
MGYP004662378495,unknown,242
MGYP002762618988,unknown,242
MGYP002537505511,unknown,242
MGYP002751051475,unknown,242
MGYP000177642100,unknown,242
MGYP002726347777,unknown,242
MGYP001298575594,unknown,242
MGYP002726883862,unknown,242
MGYP002562354820,unknown,243
MGYP002517165877,unknown,244
MGYP000369388215,unknown,245
MGYP003209376639,unknown,245
MGYP000790265781,unknown,245
MGYP002647451822,unknown,245
MGYP002548593200,unknown,245
MGYP003102037762,unknown,245
MGYP001658011065,unknown,246
MGYP000560335725,unknown,246
MGYP003366750658,unknown,245
MGYP001122640769,unknown,158
MGYP000831599676,unknown,245
MGYP004657630737,unknown,246
MGYP000330990323,unknown,245
MGYP002772374854,unknown,158
MGYP000836895519,unknown,159
MGYP000512175703,unknown,245
MGYP002225496675,unknown,246
MGYP002968179266,unknown,245
MGYP000793778038,unknown,245
MGYP002446744829,unknown,247
MGYP000233593688,unknown,245
MGYP000664024439,unknown,245
MGYP003372142957,unknown,246
MGYP001071654292,unknown,246
MGYP000254552526,unknown,246
MGYP004587730217,unknown,245
MGYP002621126900,unknown,245
MGYP000828032861,unknown,245
MGYP002706045347,unknown,245
MGYP000330813549,unknown,248
MGYP000209894141,unknown,246
MGYP002310890963,unknown,246
MGYP000718045561,unknown,246
MGYP005796471969,unknown,249
MGYP000033087005,unknown,249
MGYP005914247267,unknown,250
MGYP003195199604,unknown,251
MGYP000863516088,unknown,252
MGYP001749642292,unknown,253
MGYP001464902608,unknown,254
MGYP001041090908,unknown,254
MGYP002511857374,unknown,254
MGYP000895782056,unknown,254
MGYP000542457697,unknown,254
MGYP003507309161,unknown,254
MGYP001170504661,unknown,254
MGYP005916213391,unknown,255
MGYP006392535571,unknown,256
MGYP000352430947,unknown,257
MGYP001111195127,unknown,258
MGYP000254989110,unknown,258
MGYP006394029781,unknown,258
MGYP002566710019,unknown,259
MGYP000013204468,unknown,260
MGYP001223689112,unknown,261
MGYP000772439483,unknown,262
MGYP000987909413,unknown,261
MGYP001615014294,unknown,263
MGYP003223841515,unknown,264
MGYP002544779633,unknown,265
MGYP002544336998,unknown,265
MGYP002581703001,unknown,265
MGYP002645742559,unknown,265
MGYP001118193222,unknown,265
MGYP005752750495,unknown,265
MGYP004556387415,unknown,265
MGYP002724691799,unknown,265
MGYP000664837249,unknown,265
MGYP003219210560,unknown,265
MGYP002445228188,unknown,265
MGYP001446186185,unknown,265
MGYP003235323031,unknown,265
MGYP000759053676,unknown,265
MGYP000407588565,unknown,265
MGYP000656361253,unknown,265
MGYP000753076393,unknown,265
MGYP005905502441,unknown,265
MGYP003402821759,unknown,265
MGYP000984234095,unknown,265
MGYP000357694146,unknown,265
MGYP003165263595,unknown,265
MGYP002744363438,unknown,266
MGYP000881847192,unknown,266
MGYP001743588614,unknown,266
MGYP003532630161,unknown,267
MGYP001204067776,unknown,268
MGYP001128186786,unknown,269
MGYP006121588909,unknown,269
MGYP005809685961,unknown,269
MGYP005672807857,unknown,270
MGYP001282835774,unknown,270
MGYP002657262398,unknown,271
MGYP001531791486,unknown,271
MGYP000292689079,unknown,271
MGYP000368353185,unknown,271
MGYP001420444135,unknown,272
MGYP001141390888,unknown,272
MGYP000507089420,unknown,273
MGYP003292683776,unknown,274
MGYP001087703196,unknown,275
MGYP001412258787,unknown,275
MGYP001183404847,unknown,73
MGYP003045101938,unknown,73
MGYP001758302167,unknown,73
MGYP001806035168,unknown,73
MGYP002772022589,unknown,73
MGYP006250655177,unknown,276
MGYP004655733911,unknown,277
MGYP005653846651,unknown,278
MGYP000755235140,unknown,279
MGYP000776910059,unknown,279
MGYP000334959476,unknown,279
MGYP000567653664,unknown,279
MGYP000327099305,unknown,279
MGYP003341830745,unknown,279
MGYP001108048331,unknown,280
MGYP002540581470,unknown,280
MGYP001553334420,unknown,280
MGYP000866750820,unknown,280
MGYP000976658868,unknown,280
MGYP001363368065,unknown,280
MGYP000341290056,root:Environmental:Aquatic:Marine:Oceanic,280
MGYP001824643332,unknown,280
MGYP002171434317,unknown,280
MGYP001281528008,unknown,280
MGYP003111696985,unknown,280
MGYP000383024758,unknown,280
MGYP001327396003,unknown,280
MGYP003487701306,unknown,280
MGYP001263945082,unknown,280
MGYP003440736872,unknown,280
MGYP001501121065,unknown,280
MGYP000613380604,root:Mixed,280
MGYP005736615489,unknown,280
MGYP001329011200,unknown,280
MGYP003445337258,unknown,280
MGYP003469493851,unknown,280
MGYP001261488735,unknown,280
MGYP000307610408,unknown,280
MGYP001368887220,unknown,280
MGYP005876644241,unknown,281
MGYP000798146445,unknown,281
MGYP001278468173,unknown,281
MGYP006315903641,unknown,282
MGYP000699739985,unknown,283
MGYP002676982747,unknown,283
MGYP001170296504,unknown,284
MGYP000276845632,unknown,284
MGYP006342812325,unknown,285
MGYP000958524861,unknown,284
MGYP001272326401,unknown,286
MGYP001205886107,unknown,286
MGYP000329321866,unknown,287
MGYP000992823806,unknown,287
MGYP003193621253,unknown,287
MGYP003457078689,unknown,209
MGYP003572853571,unknown,288
MGYP001138912093,unknown,289
MGYP003493940394,unknown,290
MGYP003497576482,unknown,291
MGYP005967493469,unknown,291
MGYP006264028895,unknown,292
MGYP000756974919,unknown,293
MGYP001522978297,unknown,293
MGYP001101118417,unknown,293
MGYP001561122387,unknown,293
MGYP004693747901,unknown,293
MGYP002741768539,unknown,293
MGYP000502956668,unknown,294
MGYP000216101007,unknown,295
MGYP001149100337,unknown,295
MGYP006075036603,unknown,296
MGYP001286095308,unknown,297
MGYP001976119130,unknown,200
MGYP003170219147,unknown,200
MGYP001102163751,unknown,200
MGYP003279819894,unknown,200
MGYP006268389005,unknown,200
MGYP002620089997,unknown,200
MGYP000203298839,unknown,200
MGYP001099320156,unknown,200
MGYP001176109039,unknown,298
MGYP000256246945,unknown,299
MGYP002856722999,unknown,299
MGYP000493798833,unknown,299
MGYP000779533792,unknown,299
MGYP000096329967,unknown,299
MGYP001153540761,unknown,299
MGYP002756202714,unknown,300
MGYP003411088187,unknown,209
MGYP000131290423,unknown,209
MGYP003184746403,unknown,209
MGYP001738341314,unknown,287
MGYP001439281347,unknown,301
MGYP001533603790,unknown,299
MGYP006367324439,unknown,302
MGYP006148824739,unknown,303
MGYP000099739438,unknown,302
MGYP002745139441,unknown,304
MGYP000345972299,unknown,304
MGYP001297131923,unknown,304
MGYP002625681067,unknown,304
MGYP000811443632,unknown,304
MGYP000889591545,unknown,304
MGYP005702227903,unknown,304
MGYP001331904115,unknown,304
MGYP004592296845,unknown,304
MGYP002515431403,unknown,304
MGYP001490258829,unknown,304
MGYP001473550659,unknown,304
MGYP002571186187,unknown,304
MGYP000966066588,unknown,304
MGYP000831671594,unknown,304
MGYP000812023508,unknown,305
MGYP003046908007,unknown,17
MGYP002630367549,unknown,73
MGYP003420780066,unknown,306
MGYP003029227989,unknown,307
MGYP002569177871,unknown,307
MGYP003595455142,unknown,10
MGYP002730386954,unknown,10
MGYP006283196333,unknown,10
MGYP001067246616,unknown,10
MGYP001579457516,unknown,10
MGYP001055069754,unknown,308
MGYP004009123085,unknown,309
MGYP006203440375,unknown,310
MGYP000843904603,unknown,311
MGYP002829384910,unknown,312
MGYP001190279776,unknown,313
MGYP004603409977,unknown,313
MGYP004489093551,unknown,314
MGYP001009154495,unknown,315
MGYP000596236980,unknown,316
MGYP003438774465,unknown,317
MGYP003694538597,unknown,318
MGYP001352200265,unknown,319
MGYP000971609718,unknown,320
MGYP003083425207,unknown,320
MGYP003420328775,unknown,321
MGYP005719410725,unknown,322
MGYP000361160391,unknown,293
MGYP000523785112,unknown,293
MGYP001753820722,unknown,293
MGYP000847375712,unknown,293
MGYP001237183343,unknown,293
MGYP003575520365,unknown,323
MGYP004618424099,unknown,324
MGYP001129680778,unknown,324
MGYP000953305392,unknown,324
MGYP002633119134,unknown,324
MGYP003983790247,unknown,325
MGYP006200615037,unknown,324
MGYP001067969094,unknown,326
MGYP003585649496,unknown,327
MGYP001094273544,unknown,328
MGYP001599136334,unknown,329
MGYP001455950745,unknown,330
MGYP003521472174,unknown,331
MGYP006337461633,unknown,331
MGYP000121519717,unknown,331
MGYP002516270912,unknown,331
MGYP001186237409,unknown,331
MGYP000857337632,unknown,332
MGYP001466462481,unknown,333
MGYP004540418951,unknown,333
MGYP000351424041,unknown,333
MGYP000006535575,unknown,333
MGYP000431202890,unknown,333
MGYP000384975908,unknown,333
MGYP002640542292,unknown,333
MGYP003416128734,unknown,333
MGYP005757381761,unknown,333
MGYP004575239165,unknown,333
MGYP001594947315,unknown,334
MGYP002713037051,unknown,334
MGYP001596685694,unknown,334
MGYP001542443402,unknown,335
MGYP000752653972,unknown,335
MGYP001075277499,unknown,335
MGYP003343844826,unknown,336
MGYP000991173631,unknown,335
MGYP003611755067,unknown,337
MGYP002516573477,unknown,335
MGYP000707429263,unknown,338
MGYP002662601481,unknown,339
MGYP001096664765,unknown,339
MGYP000757541085,unknown,340
MGYP000555500624,unknown,340
MGYP003453501822,unknown,340
MGYP004565259727,unknown,341
MGYP001266330638,unknown,342
MGYP001131365433,unknown,343
MGYP001559077631,unknown,344
MGYP001609308120,unknown,344
MGYP000914616457,unknown,344
MGYP003588015852,unknown,344
MGYP000055162158,unknown,344
MGYP002581312437,unknown,345
MGYP000136240780,unknown,345
MGYP001405543333,unknown,345
MGYP000018218539,unknown,345
MGYP000609586320,unknown,346
MGYP004606317181,unknown,347
MGYP000583616920,unknown,348
MGYP006153763075,unknown,349
MGYP003714976127,unknown,350
MGYP001200934694,unknown,351
MGYP001292630839,unknown,352
MGYP001174358649,unknown,352
MGYP000727245854,unknown,352
MGYP001615929198,unknown,352
MGYP003971066511,unknown,352
MGYP005958181283,unknown,353
MGYP001524007930,unknown,354
MGYP001104673581,unknown,354
MGYP002757174183,unknown,354
MGYP000959485251,unknown,354
MGYP000045007596,unknown,354
MGYP002681096466,unknown,354
MGYP001656369616,unknown,354
MGYP000662008966,unknown,354
